Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2017-09-29,102.19000244140624,105.66000366210938,102.08999633789062,105.38999938964844,105.38999938964844,2193300,WDAY,1.0531359569840848,1.0366258718351478,1.2015371286343868,1.0206479989635429,0.0324879580205419,-0.0536345168872982,0.1122439296431838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,105.3000030517578,105.8499984741211,102.77999877929688,103.29000091552734,103.29000091552734,1631400,WDAY,1.0675766837609717,1.0583793080244848,1.241456042123653,1.012478214064533,0.0550984696964387,-0.0303282477369148,0.1523251636467191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,103.19000244140624,105.27999877929688,103.16000366210938,104.5199966430664,104.5199966430664,1096200,WDAY,1.0581707044233628,1.0518561612362949,1.1931688010893713,1.0113391723313174,0.0468315320920453,-0.0381072137686071,0.1113681588687991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,104.9499969482422,105.58999633789062,103.69000244140624,105.26000213623048,105.26000213623048,861600,WDAY,1.0427512816708475,1.042181215294537,1.2049211405763387,1.0126829906128405,0.030068291058007,-0.0463024717270295,0.1149617739796746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,105.91000366210938,107.52999877929688,105.0,107.02999877929688,107.02999877929688,1492300,WDAY,1.0129870074325118,1.0664299793650645,1.2386247672261224,1.0121464877707815,0.0008405196617302,-0.0163704963180482,0.1407030184548632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,106.6999969482422,110.58999633789062,106.2300033569336,110.2300033569336,110.2300033569336,2246600,WDAY,0.9845776601119028,1.0363784304156396,1.2029393274546691,1.0081446760609294,-0.0235670159490265,-0.0585647924113965,0.1023662610189055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,110.2300033569336,110.2300033569336,108.05999755859376,108.69000244140624,108.69000244140624,1395700,WDAY,1.02014899956592,1.0387340048754,1.2141871216890157,1.0143616235707735,0.0057873759951465,-0.0649814200772527,0.1157049755123187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,109.62999725341795,110.16999816894533,107.55999755859376,108.30999755859376,108.30999755859376,1373600,WDAY,0.9800572792779694,1.0164342980280645,1.2051518947609845,1.008797349947511,-0.0287400706695415,-0.076416378115881,0.1158545820670289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,108.18000030517578,109.52999877929688,106.27999877929688,108.51000213623048,108.51000213623048,1895200,WDAY,0.9889410694497068,1.034559026137443,1.1964795804543225,1.0091988628593096,-0.0202577934096027,-0.0666731816052632,0.1083825302613288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,108.45999908447266,109.04000091552734,107.19000244140624,108.63999938964844,108.63999938964844,1410800,WDAY,0.9772643479880352,1.0427098620739734,1.1557437248159403,1.0112728774332036,-0.0340085294451684,-0.0559750637493792,0.0797086238508109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
