Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2009-11-09,25.25,29.725000381469727,25.25,28.125,24.670015335083008,2506000,LEA,1.1068441610543462,1.270043828787772,1.1784881360592037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-10,28.125,28.5,27.6200008392334,28.475000381469727,24.97701644897461,3098800,LEA,1.1043017453026502,1.236698777791778,1.1745391996273429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-11,28.7450008392334,30.30500030517578,28.475000381469727,30.125,26.4243221282959,1545000,LEA,1.0456431394500705,1.1629874645904363,1.1058917832488988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-12,32.0,32.5,31.43000030517578,31.850000381469727,27.93741035461425,3996800,LEA,1.0222921724072556,1.1036108555265225,1.0318683733716825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-13,32.0,33.0,32.0,32.5,28.50756454467773,3055400,LEA,1.0155384916567949,1.0852307754479509,1.0172310318346356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-16,32.875,33.71500015258789,32.5,33.494998931884766,29.38034439086914,2036000,LEA,1.0040301843147148,1.0400054869712996,1.0155244543508268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-17,33.70000076293945,34.20000076293945,33.0,33.40999984741211,29.305774688720703,2357200,LEA,1.024693214938743,1.0402573671305315,1.01272061494861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-18,33.5,33.625,32.650001525878906,32.875,28.836503982543945,1097000,LEA,1.0387833344456474,1.047908564220059,1.0159693670717451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-19,33.0,33.125,31.559999465942383,31.75,27.849699020385746,2137800,LEA,1.0752759538678265,1.0908659065999975,1.0633070577524697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-20,31.875,32.400001525878906,31.5,31.875,27.95934295654297,2271600,LEA,1.0666663346692364,1.1174903886743943,1.106196108971926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-23,32.71500015258789,33.060001373291016,31.9950008392334,32.0,28.06898498535156,1492800,LEA,1.0617189916549292,1.1275000285399144,1.0495312251125153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-24,33.45500183105469,33.45500183105469,31.850000381469727,31.850000381469727,27.93741035461425,541600,LEA,1.0712715404783522,1.1430143639942218,1.0379909565270586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-25,31.850000381469727,32.099998474121094,31.850000381469727,31.950000762939453,28.02512550354004,726200,LEA,1.0732396135718767,1.130360246690365,1.0228483349176225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-27,31.2549991607666,32.05500030517578,31.25,31.75,27.849699020385746,231800,LEA,1.0716535959937163,1.161417337664557,1.0151178702828652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-30,31.625,31.80500030517578,31.27499961853028,31.4950008392334,27.626022338867188,722800,LEA,1.0738214298930848,1.1779646108614257,1.0519131051715578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,31.575000762939453,31.940000534057617,31.34499931335449,31.55500030517578,27.67864990234375,1337600,LEA,1.0990337788073308,1.1701789411824377,1.052606662374004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-02,31.5,32.25,31.125,31.5049991607666,27.63479423522949,1235000,LEA,1.1383907517301028,1.1717191823552755,1.0839552307053186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-03,31.549999237060547,31.625,31.28499984741211,31.46500015258789,27.59970664978028,669800,LEA,1.150802390707243,1.1717781273852907,1.1188625308781257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-04,31.5,31.625,31.3799991607666,31.51000022888184,27.6391830444336,843200,LEA,1.1458267027316191,1.1789906377053945,1.1244045570141574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-07,31.875,31.875,31.40999984741211,31.424999237060547,27.56462478637696,451200,LEA,1.1532218611907357,1.179315769756602,1.1180588413818566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-08,31.375,31.375,31.229999542236328,31.31999969482422,27.47251892089844,312600,LEA,1.1515005506990237,1.1813538253725897,1.151022056287383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-09,31.375,31.44499969482422,31.07999992370605,31.39999961853028,27.542688369750977,370600,LEA,1.1310511463715336,1.2071654185047804,1.156210524974514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-10,31.375,31.375,31.07999992370605,31.1299991607666,27.30586242675781,343000,LEA,1.1458399808439932,1.2198840525124937,1.1421454085096707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-11,31.02499961853028,31.614999771118164,31.0,31.44499969482422,27.582162857055664,940600,LEA,1.1351569328172877,1.2361261121899134,1.1292734518927012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-14,31.625,31.625,31.20499992370605,31.5,27.63041114807129,599400,LEA,1.13095234232802,1.2563490190347524,1.115079199350724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-15,31.434999465942383,32.59000015258789,31.434999465942383,32.560001373291016,28.56019592285156,2597400,LEA,1.0902946406008165,1.2285009357698078,1.0864557271089017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-16,32.96500015258789,33.400001525878906,32.38999938964844,33.005001068115234,28.950529098510746,1684000,LEA,1.07635224099486,1.2073927350121865,1.0678683512079488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-17,33.099998474121094,33.73500061035156,32.814998626708984,33.630001068115234,29.49875259399414,1420000,LEA,1.0422243418754698,1.1916445286328414,1.0059469765693974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-18,33.564998626708984,34.25,33.54999923706055,34.23500061035156,30.029428482055664,2807800,LEA,1.0077410102813955,1.195413968269575,0.9668466900138712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
