,2020-12-31,2019-12-31
Change To Liabilities,24922000.0,18451000.0
Total Cashflows From Investing Activities,22066000.0,-5060000.0
Net Borrowings,-3041000.0,-3592000.0
Total Cash From Financing Activities,24621000.0,176298000.0
Change To Operating Activities,40931000.0,38006000.0
Issuance Of Stock,34404000.0,180193000.0
Net Income,-60052000.0,-282588000.0
Change In Cash,-6517000.0,67377000.0
Repurchase Of Stock,-6742000.0,-6742000.0
Total Cash From Operating Activities,-53204000.0,-103861000.0
Depreciation,13531000.0,12253000.0
Change To Account Receivables,-59381000.0,-23280000.0
Change To Netincome,-13155000.0,133297000.0
Capital Expenditures,-1775000.0,-2892000.0
Other Cashflows From Financing Activities,,-303000.0
