,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-289676000.0,-1391414000.0,-313168000.0,-578443000.0
Change To Liabilities,253475000.0,219920000.0,-25328000.0,147990000.0
Total Cashflows From Investing Activities,-206411000.0,-1195231000.0,-245764000.0,-520848000.0
Net Borrowings,-399550000.0,581213000.0,-356060000.0,147659000.0
Total Cash From Financing Activities,-404247000.0,528217000.0,-449643000.0,98975000.0
Change To Operating Activities,398099000.0,-47206000.0,277659000.0,321815000.0
Net Income,237238000.0,229525000.0,312150000.0,151678000.0
Change In Cash,-224712000.0,-357455000.0,-199081000.0,140621000.0
Effect Of Exchange Rate,1127000.0,-1431000.0,16585000.0,5400000.0
Total Cash From Operating Activities,384819000.0,310990000.0,479741000.0,557094000.0
Depreciation,37054000.0,33543000.0,38870000.0,32130000.0
Other Cashflows From Investing Activities,-33896000.0,188012000.0,-147076000.0,77624000.0
Change To Account Receivables,-225428000.0,-96290000.0,2018000.0,28567000.0
Other Cashflows From Financing Activities,-4697000.0,-2028000.0,-37760000.0,-14325000.0
Change To Netincome,-73630000.0,-59766000.0,-204148000.0,-44415000.0
Capital Expenditures,-37401000.0,-10872000.0,-7124000.0,-8041000.0
Repurchase Of Stock,,-29683000.0,-34498000.0,-12957000.0
Dividends Paid,,-21285000.0,-21325000.0,-21402000.0
