,2021-01-31,2020-01-31,2019-01-31
Investments,-3981906000.0,167657000.0,-358626000.0
Change To Liabilities,310003000.0,224077000.0,84801000.0
Total Cashflows From Investing Activities,-4036645000.0,138495000.0,-362642000.0
Net Borrowings,2090000.0,2090000.0,2090000.0
Total Cash From Financing Activities,4775290000.0,57469000.0,413601000.0
Change To Operating Activities,-86822000.0,-57867000.0,-27161000.0
Issuance Of Stock,4295821000.0,33739000.0,5018000.0
Net Income,-539102000.0,-348535000.0,-178028000.0
Change In Cash,693217000.0,19406000.0,-93023000.0
Effect Of Exchange Rate,-11000.0,-11000.0,-11000.0
Total Cash From Operating Activities,-45417000.0,-176558000.0,-143982000.0
Depreciation,9826000.0,3522000.0,1362000.0
Change To Account Receivables,-116289000.0,-116869000.0,-51421000.0
Other Cashflows From Financing Activities,-1194000.0,-391000.0,-391000.0
Change To Netincome,348126000.0,102128000.0,20791000.0
Capital Expenditures,-35037000.0,-18583000.0,-2058000.0
Repurchase Of Stock,,,-29644000.0
