,2020-10-03,2019-09-28,2018-09-29
Change To Liabilities,39336000.0,23832000.0,2039000.0
Total Cashflows From Investing Activities,-26811000.0,-36996000.0,-40219000.0
Net Borrowings,-10425000.0,-6255000.0,-23662000.0
Total Cash From Financing Activities,-10425000.0,-7495000.0,-24386000.0
Change To Operating Activities,-20945000.0,2848000.0,-2470000.0
Net Income,58561000.0,702000.0,17126000.0
Change In Cash,66173000.0,13330000.0,-21325000.0
Total Cash From Operating Activities,103409000.0,57821000.0,43280000.0
Depreciation,31525000.0,30424000.0,31611000.0
Change To Inventory,1762000.0,-3797000.0,-4920000.0
Change To Account Receivables,1813000.0,-5632000.0,-4304000.0
Change To Netincome,-7276000.0,3590000.0,4994000.0
Capital Expenditures,-20630000.0,-27444000.0,-28786000.0
Dividends Paid,,-1240000.0,-1240000.0
Other Cashflows From Financing Activities,,,-724000.0
