Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Treasury Stock,Other Stockholder Equity,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock,Issuance Of Stock
2020-10-29,20.670000076293945,22.190000534057617,20.5,21.700000762939453,21.700000762939453,21354100,LESL,0.9622119090625426,1.3211981137465336,1.242396227493067,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-10-30,21.0,21.979999542236328,20.049999237060547,21.96999931335449,21.96999931335449,2271900,LESL,0.9558489147168578,1.2767410156453816,1.1884388450790968,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-02,21.959999084472656,22.049999237060547,21.0,21.38999938964844,21.38999938964844,1220400,LESL,0.9649368853950058,1.29686772148964,1.260402050199206,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-03,21.299999237060547,23.63999938964844,21.299999237060547,22.350000381469727,22.350000381469727,1792500,LESL,0.8876957411167266,1.2062639205512076,1.227293057583921,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-04,22.57999992370605,24.979999542236328,22.350000381469727,24.200000762939453,24.200000762939453,3632400,LESL,0.8326445860856558,1.098347069658419,1.1103305781867103,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-05,24.420000076293945,25.84000015258789,24.18000030517578,24.559999465942383,24.559999465942383,974200,LESL,0.8184039421231509,1.0553746188894462,1.1180781629312222,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-06,24.299999237060547,25.78499984741211,24.190000534057617,24.86000061035156,24.86000061035156,720100,LESL,0.8201930365664659,1.0627513848609005,1.0973451334223328,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-09,24.88999938964844,24.88999938964844,21.40999984741211,21.739999771118164,21.739999771118164,1235100,LESL,0.9351426006321624,1.1255749572667042,1.29714816282581,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-10,21.700000762939453,22.540000915527344,21.459999084472656,21.729999542236328,21.729999542236328,837000,LESL,0.9346525491851064,1.1063047133894823,1.298665435243274,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-11,21.809999465942383,23.6299991607666,21.809999465942383,22.56999969482422,22.56999969482422,613200,LESL,0.9060700504851612,1.0212671488137592,1.255206039289523,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-12,22.209999084472656,22.46999931335449,21.61000061035156,21.979999542236328,21.979999542236328,937000,LESL,0.9504094551734014,1.123293951240254,1.321201161070302,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-13,22.09000015258789,22.350000381469727,21.3799991607666,21.780000686645508,21.780000686645508,412800,LESL,1.0353534676831837,1.1267217695991232,1.3549127317969285,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-16,21.950000762939453,22.44499969482422,21.5,21.690000534057617,21.690000534057617,281800,LESL,1.090364178709681,1.1065006643183444,1.3365605835554544,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-17,21.57999992370605,22.200000762939453,21.3799991607666,21.5,21.5,564400,LESL,1.069767441860465,1.1111627623092295,1.3562790626703307,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-18,21.489999771118164,22.13999938964844,21.06999969482422,21.5,21.5,1032100,LESL,1.0953488017237465,1.082790729611419,1.3534883898358012,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-19,21.420000076293945,22.30500030517578,21.36000061035156,21.90999984741211,21.90999984741211,1200900,LESL,1.179826588840574,1.1081698245430764,1.3354632785329696,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
2020-11-20,21.76000022888184,22.32999992370605,21.559999465942383,22.0,22.0,411200,LESL,1.280454548922452,1.1040909507057883,1.3686363913796162,121186000.0,,1573437000.0,-826999000.0,15143000.0,746438000.0,157000.0,-549093000.0,5457000.0,,9073000.0,157072000.0,258196000.0,6583000.0,8341000.0,244046000.0,372133000.0,-948185000.0,31481000.0,1179550000.0,148966000.0,92372000.0,-278063000.0,-278063000.0,-61068000.0,-5147000.0,-4170000.0,-4170000.0,-4299000.0,42054000.0,8171000.0,17488000.0,10940000.0,32142000.0,4121000.0,-9562000.0,-9200000.0,-5147000.0,-99000.0,458686000.0
