Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,106.94000244140624,108.41000366210938,106.83999633789062,108.0199966430664,108.0199966430664,330900,CRL,1.0765599382472464,1.0134234828985231,0.9747269411925658,1.0206479989635429,0.0559119392837035,-0.0768369058239228,-0.1145662577986371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,108.0500030517578,109.0,107.98999786376952,108.93000030517578,108.93000030517578,443400,CRL,1.0810612485662057,1.0270815839527911,0.97319381106431,1.012478214064533,0.0685830345016726,-0.0616259718086085,-0.1159370674126237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,108.91999816894533,109.41999816894533,108.61000061035156,109.31999969482422,109.31999969482422,293800,CRL,1.071441617091072,1.0235089617819118,0.97008784621117,1.0113391723313174,0.0601024447597546,-0.0664544132229902,-0.1117127960094022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,109.3000030517578,109.73999786376952,108.77999877929688,109.58000183105467,109.58000183105467,268800,CRL,1.0745573830299937,1.0081219143527722,0.978736979447701,1.0126829906128405,0.0618743924171532,-0.0803617726687941,-0.111222387148963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,109.72000122070312,110.5199966430664,109.0199966430664,110.12000274658205,110.12000274658205,373100,CRL,1.065655607947789,0.9975480905764024,0.980839079570246,1.0121464877707815,0.0535091201770074,-0.0852523851067103,-0.1170826692010131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,109.91000366210938,110.58999633789062,109.2699966430664,109.9000015258789,109.9000015258789,207200,CRL,1.0636032553841552,0.9832574709577974,0.9838034690210836,1.0081446760609294,0.0554585793232258,-0.1116857518692387,-0.1167695974146799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,110.56999969482422,110.81999969482422,109.5,110.45999908447266,110.45999908447266,221300,CRL,1.0664494299123792,0.9536483542547688,0.9596234010371308,1.0143616235707735,0.0520878063416057,-0.1500670706978838,-0.1388587451395661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,110.81999969482422,111.83999633789062,110.81999969482422,111.8000030517578,111.8000030517578,246400,CRL,0.9199462939773508,0.945974948563006,0.943291558191192,1.008797349947511,-0.08885105597016,-0.1468757275809395,-0.1460057545027635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,111.73999786376952,112.97000122070312,111.73999786376952,112.8000030517578,112.8000030517578,271400,CRL,0.905319148792263,0.9465424978231202,0.944326185826344,1.0091988628593096,-0.1038797140670465,-0.1546897099195862,-0.1437708643666496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,112.6500015258789,113.83000183105467,112.3499984741211,112.58999633789062,112.58999633789062,428900,CRL,0.9053202204508166,0.9474198564570608,0.9344524603121038,1.0112728774332036,-0.1059526569823869,-0.1512650693662918,-0.1415826406530256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
