Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,84.16999816894531,84.37999725341797,83.80000305175781,83.83999633789062,76.59005737304688,384500,ATO,1.0405532049011377,1.0071524399500658,1.0115404093631797,1.0206479989635429,0.0199052059375948,-0.0831079487723802,-0.0777527896280232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,84.06999969482422,84.7300033569336,83.5999984741211,84.66999816894531,77.3482894897461,280500,ATO,1.0271643029158544,0.987897845721058,0.9877659682024266,1.012478214064533,0.0146860888513213,-0.1008097100403416,-0.1013649102745072,2536365000.0,6850930000.0,3898666000.0,110977000.0,227960000.0,10749596000.0,531000.0,69686000.0,1467024000.0,2658366000.0,730132000.0,-105254000.0,132227000.0,26409000.0,1013443000.0,-105254000.0,9259182000.0,539646000.0,88409000.0,3168534000.0,222263000.0,3179121000.0,189125000.0,193675000.0,,-12473000.0,53017000.0,-1056306000.0,252845000.0,168091000.0,-32462000.0,125278000.0,396421000.0,-21125000.0,867090000.0,319448000.0,179384000.0,-191931000.0,-35126000.0,-58696000.0,-18101000.0,218019000.0,-1137089000.0
2017-10-03,84.77999877929688,84.77999877929688,84.06999969482422,84.41000366210938,77.11077117919922,321100,ATO,1.0249970738284702,0.9940379316919268,0.9991971950704176,1.0113391723313174,0.0136579014971527,-0.0959254433129752,-0.0826034471501545,2536365000.0,6850930000.0,3898666000.0,110977000.0,227960000.0,10749596000.0,531000.0,69686000.0,1467024000.0,2658366000.0,730132000.0,-105254000.0,132227000.0,26409000.0,1013443000.0,-105254000.0,9259182000.0,539646000.0,88409000.0,3168534000.0,222263000.0,3179121000.0,189125000.0,193675000.0,,-12473000.0,53017000.0,-1056306000.0,252845000.0,168091000.0,-32462000.0,125278000.0,396421000.0,-21125000.0,867090000.0,319448000.0,179384000.0,-191931000.0,-35126000.0,-58696000.0,-18101000.0,218019000.0,-1137089000.0
2017-10-04,84.52999877929688,84.7699966430664,84.12000274658203,84.66999816894531,77.3482894897461,269200,ATO,1.034486710898735,0.9807727115132427,1.0116598664752454,1.0126829906128405,0.0218037202858945,-0.1077109755083236,-0.0782995001214186,2536365000.0,6850930000.0,3898666000.0,110977000.0,227960000.0,10749596000.0,531000.0,69686000.0,1467024000.0,2658366000.0,730132000.0,-105254000.0,132227000.0,26409000.0,1013443000.0,-105254000.0,9259182000.0,539646000.0,88409000.0,3168534000.0,222263000.0,3179121000.0,189125000.0,193675000.0,,-12473000.0,53017000.0,-1056306000.0,252845000.0,168091000.0,-32462000.0,125278000.0,396421000.0,-21125000.0,867090000.0,319448000.0,179384000.0,-191931000.0,-35126000.0,-58696000.0,-18101000.0,218019000.0,-1137089000.0
2017-10-05,84.7300033569336,85.16000366210938,84.55000305175781,84.80000305175781,77.46705627441406,272400,ATO,1.0358488804445092,0.95804520531405,1.0159539882853272,1.0121464877707815,0.0237023926737276,-0.1247552703690626,-0.0819677604859319,2536365000.0,6850930000.0,3898666000.0,110977000.0,227960000.0,10749596000.0,531000.0,69686000.0,1467024000.0,2658366000.0,730132000.0,-105254000.0,132227000.0,26409000.0,1013443000.0,-105254000.0,9259182000.0,539646000.0,88409000.0,3168534000.0,222263000.0,3179121000.0,189125000.0,193675000.0,,-12473000.0,53017000.0,-1056306000.0,252845000.0,168091000.0,-32462000.0,125278000.0,396421000.0,-21125000.0,867090000.0,319448000.0,179384000.0,-191931000.0,-35126000.0,-58696000.0,-18101000.0,218019000.0,-1137089000.0
2017-10-06,84.55000305175781,85.23999786376953,84.41000366210938,85.2300033569336,77.85987091064453,312400,ATO,1.0391880688065525,0.9437740323631496,1.0025204676534596,1.0081446760609294,0.031043392745623,-0.1511691904638865,-0.0980525987823039,2536365000.0,6850930000.0,3898666000.0,110977000.0,227960000.0,10749596000.0,531000.0,69686000.0,1467024000.0,2658366000.0,730132000.0,-105254000.0,132227000.0,26409000.0,1013443000.0,-105254000.0,9259182000.0,539646000.0,88409000.0,3168534000.0,222263000.0,3179121000.0,189125000.0,193675000.0,,-12473000.0,53017000.0,-1056306000.0,252845000.0,168091000.0,-32462000.0,125278000.0,396421000.0,-21125000.0,867090000.0,319448000.0,179384000.0,-191931000.0,-35126000.0,-58696000.0,-18101000.0,218019000.0,-1137089000.0
2017-10-09,85.2699966430664,85.69000244140625,85.04000091552734,85.36000061035156,77.97862243652344,229700,ATO,1.0454544031424502,0.9404518074587797,0.99814975597834,1.0143616235707735,0.0310927795716766,-0.1632636174938729,-0.1003323901983569,2536365000.0,6850930000.0,3898666000.0,110977000.0,227960000.0,10749596000.0,531000.0,69686000.0,1467024000.0,2658366000.0,730132000.0,-105254000.0,132227000.0,26409000.0,1013443000.0,-105254000.0,9259182000.0,539646000.0,88409000.0,3168534000.0,222263000.0,3179121000.0,189125000.0,193675000.0,,-12473000.0,53017000.0,-1056306000.0,252845000.0,168091000.0,-32462000.0,125278000.0,396421000.0,-21125000.0,867090000.0,319448000.0,179384000.0,-191931000.0,-35126000.0,-58696000.0,-18101000.0,218019000.0,-1137089000.0
2017-10-10,85.5,86.02999877929688,85.30000305175781,85.88999938964844,78.46279907226562,249000,ATO,1.0454070855352384,0.9376922595231788,0.9881037809564815,1.008797349947511,0.0366097355877275,-0.1551584166207668,-0.101193531737474,2536365000.0,6850930000.0,3898666000.0,110977000.0,227960000.0,10749596000.0,531000.0,69686000.0,1467024000.0,2658366000.0,730132000.0,-105254000.0,132227000.0,26409000.0,1013443000.0,-105254000.0,9259182000.0,539646000.0,88409000.0,3168534000.0,222263000.0,3179121000.0,189125000.0,193675000.0,,-12473000.0,53017000.0,-1056306000.0,252845000.0,168091000.0,-32462000.0,125278000.0,396421000.0,-21125000.0,867090000.0,319448000.0,179384000.0,-191931000.0,-35126000.0,-58696000.0,-18101000.0,218019000.0,-1137089000.0
2017-10-11,85.83999633789062,86.81999969482422,85.83999633789062,86.19999694824219,78.74598693847656,225200,ATO,1.0343389662287863,0.9427185901439282,0.9905351932113046,1.0091988628593096,0.0251401033694766,-0.1585136175987781,-0.097561856981689,2536365000.0,6850930000.0,3898666000.0,110977000.0,227960000.0,10749596000.0,531000.0,69686000.0,1467024000.0,2658366000.0,730132000.0,-105254000.0,132227000.0,26409000.0,1013443000.0,-105254000.0,9259182000.0,539646000.0,88409000.0,3168534000.0,222263000.0,3179121000.0,189125000.0,193675000.0,,-12473000.0,53017000.0,-1056306000.0,252845000.0,168091000.0,-32462000.0,125278000.0,396421000.0,-21125000.0,867090000.0,319448000.0,179384000.0,-191931000.0,-35126000.0,-58696000.0,-18101000.0,218019000.0,-1137089000.0
2017-10-12,86.19000244140625,87.08000183105469,86.19000244140625,86.79000091552734,79.28497314453125,300400,ATO,1.031685597822949,0.9348036574147136,0.9940579520479136,1.0112728774332036,0.0204127203897455,-0.163881268408639,-0.0819771489172158,2536365000.0,6850930000.0,3898666000.0,110977000.0,227960000.0,10749596000.0,531000.0,69686000.0,1467024000.0,2658366000.0,730132000.0,-105254000.0,132227000.0,26409000.0,1013443000.0,-105254000.0,9259182000.0,539646000.0,88409000.0,3168534000.0,222263000.0,3179121000.0,189125000.0,193675000.0,,-12473000.0,53017000.0,-1056306000.0,252845000.0,168091000.0,-32462000.0,125278000.0,396421000.0,-21125000.0,867090000.0,319448000.0,179384000.0,-191931000.0,-35126000.0,-58696000.0,-18101000.0,218019000.0,-1137089000.0
