Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Term Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Dividends Paid,Other Cashflows From Financing Activities,Other Cashflows From Investing Activities
2018-10-25,16.75,17.450000762939453,16.479999542236328,17.0,17.0,9911600,YETI,1.0635294072768264,0.9882352492388558,1.7082353479721968,74302000.0,219095000.0,592658000.0,-76231000.0,1011000.0,14180000.0,516427000.0,815000.0,,-296184000.0,12128000.0,54293000.0,43000.0,11015000.0,53650000.0,151898000.0,10004000.0,47050000.0,43000.0,73783000.0,303034000.0,-204826000.0,67152000.0,428632000.0,175098000.0,40342000.0,170000.0,27992000.0,-38722000.0,-65550000.0,-72237000.0,30420000.0,99000.0,15401000.0,32359000.0,-2018000.0,-1000.0,147751000.0,20769000.0,71040000.0,-29909000.0,21893000.0,-42197000.0,-2811000.0,-1957000.0,1416000.0
2018-10-26,16.520000457763672,16.829999923706055,15.779999732971191,16.450000762939453,16.450000762939453,2498100,YETI,1.1671732445262577,1.0376899029258146,1.7252278324937522,74302000.0,219095000.0,592658000.0,-76231000.0,1011000.0,14180000.0,516427000.0,815000.0,,-296184000.0,12128000.0,54293000.0,43000.0,11015000.0,53650000.0,151898000.0,10004000.0,47050000.0,43000.0,73783000.0,303034000.0,-204826000.0,67152000.0,428632000.0,175098000.0,40342000.0,170000.0,27992000.0,-38722000.0,-65550000.0,-72237000.0,30420000.0,99000.0,15401000.0,32359000.0,-2018000.0,-1000.0,147751000.0,20769000.0,71040000.0,-29909000.0,21893000.0,-42197000.0,-2811000.0,-1957000.0,1416000.0
2018-10-29,16.450000762939453,16.690000534057617,15.25,15.40999984741211,15.40999984741211,1630700,YETI,1.0447761545029148,1.1382220044909954,1.8818948920930807,74302000.0,219095000.0,592658000.0,-76231000.0,1011000.0,14180000.0,516427000.0,815000.0,,-296184000.0,12128000.0,54293000.0,43000.0,11015000.0,53650000.0,151898000.0,10004000.0,47050000.0,43000.0,73783000.0,303034000.0,-204826000.0,67152000.0,428632000.0,175098000.0,40342000.0,170000.0,27992000.0,-38722000.0,-65550000.0,-72237000.0,30420000.0,99000.0,15401000.0,32359000.0,-2018000.0,-1000.0,147751000.0,20769000.0,71040000.0,-29909000.0,21893000.0,-42197000.0,-2811000.0,-1957000.0,1416000.0
2018-10-30,15.630000114440918,15.670000076293944,14.619999885559082,15.260000228881836,15.260000228881836,1135500,YETI,1.1035386566191308,1.1644823192159122,1.876802028838961,74302000.0,219095000.0,592658000.0,-76231000.0,1011000.0,14180000.0,516427000.0,815000.0,,-296184000.0,12128000.0,54293000.0,43000.0,11015000.0,53650000.0,151898000.0,10004000.0,47050000.0,43000.0,73783000.0,303034000.0,-204826000.0,67152000.0,428632000.0,175098000.0,40342000.0,170000.0,27992000.0,-38722000.0,-65550000.0,-72237000.0,30420000.0,99000.0,15401000.0,32359000.0,-2018000.0,-1000.0,147751000.0,20769000.0,71040000.0,-29909000.0,21893000.0,-42197000.0,-2811000.0,-1957000.0,1416000.0
2018-10-31,15.289999961853027,16.510000228881836,15.289999961853027,15.93000030517578,15.93000030517578,1819200,YETI,1.067796604081367,1.1092278554792512,1.7947269055166797,74302000.0,219095000.0,592658000.0,-76231000.0,1011000.0,14180000.0,516427000.0,815000.0,,-296184000.0,12128000.0,54293000.0,43000.0,11015000.0,53650000.0,151898000.0,10004000.0,47050000.0,43000.0,73783000.0,303034000.0,-204826000.0,67152000.0,428632000.0,175098000.0,40342000.0,170000.0,27992000.0,-38722000.0,-65550000.0,-72237000.0,30420000.0,99000.0,15401000.0,32359000.0,-2018000.0,-1000.0,147751000.0,20769000.0,71040000.0,-29909000.0,21893000.0,-42197000.0,-2811000.0,-1957000.0,1416000.0
2018-11-01,16.09000015258789,16.3799991607666,15.75,16.15999984741211,16.15999984741211,708600,YETI,1.0439357053542913,1.1089109062809606,1.7394802522138106,74302000.0,219095000.0,592658000.0,-76231000.0,1011000.0,14180000.0,516427000.0,815000.0,,-296184000.0,12128000.0,54293000.0,43000.0,11015000.0,53650000.0,151898000.0,10004000.0,47050000.0,43000.0,73783000.0,303034000.0,-204826000.0,67152000.0,428632000.0,175098000.0,40342000.0,170000.0,27992000.0,-38722000.0,-65550000.0,-72237000.0,30420000.0,99000.0,15401000.0,32359000.0,-2018000.0,-1000.0,147751000.0,20769000.0,71040000.0,-29909000.0,21893000.0,-42197000.0,-2811000.0,-1957000.0,1416000.0
2018-11-02,16.25,16.549999237060547,16.010000228881836,16.5,16.5,711700,YETI,1.0199999953761243,1.079999981504498,1.6666666666666667,74302000.0,219095000.0,592658000.0,-76231000.0,1011000.0,14180000.0,516427000.0,815000.0,,-296184000.0,12128000.0,54293000.0,43000.0,11015000.0,53650000.0,151898000.0,10004000.0,47050000.0,43000.0,73783000.0,303034000.0,-204826000.0,67152000.0,428632000.0,175098000.0,40342000.0,170000.0,27992000.0,-38722000.0,-65550000.0,-72237000.0,30420000.0,99000.0,15401000.0,32359000.0,-2018000.0,-1000.0,147751000.0,20769000.0,71040000.0,-29909000.0,21893000.0,-42197000.0,-2811000.0,-1957000.0,1416000.0
2018-11-05,16.65999984741211,17.149999618530273,16.5,17.010000228881836,17.010000228881836,525500,YETI,0.9077013152631956,1.0864197115564134,1.5061728685771774,74302000.0,219095000.0,592658000.0,-76231000.0,1011000.0,14180000.0,516427000.0,815000.0,,-296184000.0,12128000.0,54293000.0,43000.0,11015000.0,53650000.0,151898000.0,10004000.0,47050000.0,43000.0,73783000.0,303034000.0,-204826000.0,67152000.0,428632000.0,175098000.0,40342000.0,170000.0,27992000.0,-38722000.0,-65550000.0,-72237000.0,30420000.0,99000.0,15401000.0,32359000.0,-2018000.0,-1000.0,147751000.0,20769000.0,71040000.0,-29909000.0,21893000.0,-42197000.0,-2811000.0,-1957000.0,1416000.0
2018-11-06,17.0,17.440000534057617,16.709999084472656,17.200000762939453,17.200000762939453,704400,YETI,0.8796511304256026,1.0848836639367183,1.4726743488456215,74302000.0,219095000.0,592658000.0,-76231000.0,1011000.0,14180000.0,516427000.0,815000.0,,-296184000.0,12128000.0,54293000.0,43000.0,11015000.0,53650000.0,151898000.0,10004000.0,47050000.0,43000.0,73783000.0,303034000.0,-204826000.0,67152000.0,428632000.0,175098000.0,40342000.0,170000.0,27992000.0,-38722000.0,-65550000.0,-72237000.0,30420000.0,99000.0,15401000.0,32359000.0,-2018000.0,-1000.0,147751000.0,20769000.0,71040000.0,-29909000.0,21893000.0,-42197000.0,-2811000.0,-1957000.0,1416000.0
2018-11-07,17.06999969482422,17.299999237060547,16.559999465942383,16.649999618530273,16.649999618530273,465600,YETI,0.8918919352372072,1.3153153225395346,1.6444444317160585,74302000.0,219095000.0,592658000.0,-76231000.0,1011000.0,14180000.0,516427000.0,815000.0,,-296184000.0,12128000.0,54293000.0,43000.0,11015000.0,53650000.0,151898000.0,10004000.0,47050000.0,43000.0,73783000.0,303034000.0,-204826000.0,67152000.0,428632000.0,175098000.0,40342000.0,170000.0,27992000.0,-38722000.0,-65550000.0,-72237000.0,30420000.0,99000.0,15401000.0,32359000.0,-2018000.0,-1000.0,147751000.0,20769000.0,71040000.0,-29909000.0,21893000.0,-42197000.0,-2811000.0,-1957000.0,1416000.0
