Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Total Assets,Common Stock,Other Current Assets,Good Will,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-01-28,33.349998474121094,34.75,32.21200180053711,33.0,33.0,7415800,SHLS,1.0999999768806226,0.8930302822228633,0.9915151885061552,79973000.0,37701000.0,149906000.0,,187607000.0,149906000.0,798000.0,50176000.0,,7082000.0,24541000.0,12894000.0,10947000.0,46511000.0,19757000.0,29797000.0,13160000.0,8834000.0,10383000.0,4195000.0,-1719000.0,-13500000.0,-27489000.0,-146000.0,25143000.0,6974000.0,36182000.0,9163000.0,-13989000.0,-694000.0,-1818000.0,-15559000.0,301000.0,-1719000.0
2021-01-29,32.41999816894531,34.400001525878906,31.8799991607666,33.93000030517578,33.93000030517578,4688000,SHLS,0.9997052126100646,0.8567639090291961,0.9740642186796268,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-01,34.36000061035156,38.09000015258789,34.2599983215332,37.68000030517578,37.68000030517578,4903300,SHLS,0.8752653735436978,0.779723962919685,0.876061519484619,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-02,38.59000015258789,41.7599983215332,35.099998474121094,38.84000015258789,38.84000015258789,10671200,SHLS,0.8290422408969528,0.7409886862404637,0.830329553895514,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-03,39.09999847412109,40.54999923706055,36.9900016784668,37.02000045776367,37.02000045776367,2909200,SHLS,0.8900594369395618,0.7947055567938036,0.899243665691147,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-04,37.369998931884766,39.869998931884766,37.310001373291016,39.619998931884766,39.619998931884766,6488100,SHLS,0.9048460232357628,0.7082281732057467,0.8334174999482483,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-05,40.02999877929688,40.40999984741211,38.52999877929688,39.95000076293945,39.95000076293945,1344000,SHLS,0.8473090820444447,0.6458072276432725,0.7479348833576364,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-08,39.95000076293945,40.04999923706055,38.09000015258789,40.0,40.0,1370700,SHLS,0.8654999732971191,0.5807499885559082,0.7280000209808349,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-09,39.75,40.0,37.91999816894531,38.59999847412109,38.59999847412109,1433500,SHLS,0.9025907132080836,0.5979274827997666,0.7896373250551106,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-10,38.310001373291016,38.48799896240234,37.185001373291016,37.34999847412109,37.34999847412109,1413400,SHLS,1.01740298667828,0.5804551858334701,0.7908969778404381,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-11,37.310001373291016,37.47999954223633,35.7599983215332,36.34999847412109,36.34999847412109,1019100,SHLS,1.0500687694971969,0.6005502294380463,0.853370062170648,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-12,36.220001220703125,38.150001525878906,35.27000045776367,37.91999816894531,37.91999816894531,551800,SHLS,0.9480485891051758,0.5669831497409588,0.8320147879885318,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-16,38.369998931884766,39.76499938964844,37.2400016784668,38.880001068115234,38.880001068115234,1382600,SHLS,0.7911522475267508,0.6031378631357693,0.8068415632055975,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-17,38.790000915527344,39.650001525878906,37.68999862670898,38.84999847412109,38.84999847412109,1112100,SHLS,0.8007722479339265,0.6277992367463078,0.8133848551504897,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-18,38.15999984741211,38.470001220703125,36.70000076293945,38.150001525878906,38.150001525878906,1143100,SHLS,0.8477063921124662,0.6752293367906589,0.8311926033072974,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-19,38.630001068115234,40.91999816894531,38.0099983215332,40.16999816894531,40.16999816894531,1781800,SHLS,0.7973612207943459,0.6609410118814958,0.7931292522433308,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-22,41.0,44.040000915527344,39.0099983215332,39.709999084472656,39.709999084472656,4306500,SHLS,0.7723495538504427,0.6711155938795003,0.8048350496429401,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
2021-02-23,37.0,39.45000076293945,33.70000076293945,38.77000045776367,38.77000045776367,2058300,SHLS,0.783079707296521,0.7010575182939675,0.8400825202544483,71988000.0,379433000.0,-184123000.0,3700000.0,195310000.0,-184123000.0,155000.0,50176000.0,4236000.0,10073000.0,24101000.0,3500000.0,12763000.0,56147000.0,-306287000.0,30798000.0,355332000.0,15121000.0,14634000.0,4251000.0,-3236000.0,343750000.0,-47855000.0,5346000.0,33766000.0,2991000.0,54082000.0,9405000.0,-376046000.0,-6475000.0,-1001000.0,-15559000.0,8439000.0,-3236000.0
