,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,4251000.0,4195000.0,-656000.0
Total Cashflows From Investing Activities,-3236000.0,-1719000.0,-1405000.0
Net Borrowings,343750000.0,-13500000.0,-8500000.0
Total Cash From Financing Activities,-47855000.0,-27489000.0,-19161000.0
Change To Operating Activities,5346000.0,-146000.0,307000.0
Net Income,33766000.0,25143000.0,8647000.0
Change In Cash,2991000.0,6974000.0,-17565000.0
Total Cash From Operating Activities,54082000.0,36182000.0,3001000.0
Depreciation,9405000.0,9163000.0,8990000.0
Dividends Paid,-376046000.0,-13989000.0,-10661000.0
Change To Inventory,-6475000.0,-694000.0,-4447000.0
Change To Account Receivables,-1001000.0,-1818000.0,-9838000.0
Other Cashflows From Financing Activities,-15559000.0,-15559000.0,-15559000.0
Change To Netincome,8439000.0,301000.0,-40000.0
Capital Expenditures,-3236000.0,-1719000.0,-1405000.0
