Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Minority Interest,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2017-09-29,118.08999633789062,119.3499984741211,116.7300033569336,118.54000091552734,111.4105453491211,1743900,RCL,1.0441200227107084,1.0379902406407866,0.9639277472961868,1.0206479989635429,0.0234720237471655,-0.0522701480816594,-0.1253654516950161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,118.37999725341795,119.22000122070312,117.5500030517578,119.12000274658205,111.9556655883789,1617500,RCL,1.0146070127044968,1.022561352867502,0.9725427931493345,1.012478214064533,0.0021287986399638,-0.0661462028938977,-0.1165880853275993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,119.1999969482422,119.63999938964844,117.81999969482422,119.0,111.84288787841795,1151300,RCL,1.0343696576772792,1.0224104266791074,0.9651228888136552,1.0113391723313174,0.0230304853459617,-0.0675529483257946,-0.116677753406917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,119.08999633789062,122.3000030517578,119.0,121.66999816894533,114.352294921875,1694100,RCL,1.012410677495319,1.0169858204860511,0.9602930509386468,1.0126829906128405,-0.0002723131175215,-0.0714978665355152,-0.1296663156580172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,121.86000061035156,124.2300033569336,121.86000061035156,123.66000366210938,116.2226104736328,1819100,RCL,1.0135856232928284,0.999888601000556,0.9550465322220127,1.0121464877707815,0.0014391355220468,-0.0829118746825566,-0.1428752165492464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,123.81999969482422,125.0,122.77999877929688,123.38999938964844,115.96883392333984,1076100,RCL,1.0473296291440144,1.0212126536987804,0.9681023366234288,1.0081446760609294,0.039184953083085,-0.0737305691282557,-0.1324707298123347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,123.36000061035156,124.63999938964844,122.9800033569336,124.52999877929688,117.040283203125,1111300,RCL,1.0352525542504438,1.028969139877805,0.9566450796521464,1.0143616235707735,0.0208909306796702,-0.0747462850748477,-0.1418370665245505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,124.87999725341795,126.06999969482422,124.58999633789062,124.8000030517578,117.29403686523438,1445500,RCL,1.0149839690010982,1.0204631674693658,0.9635564386647452,1.008797349947511,0.0061866190535873,-0.0723875086745797,-0.1257408740292104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,125.43000030517578,125.86000061035156,124.5,125.01000213623048,117.49141693115234,1579600,RCL,0.9936803868353136,1.046558485853907,0.9669457497434226,1.0091988628593096,-0.015518476023996,-0.0546737218887993,-0.121151300449571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,124.77999877929688,125.68000030517578,124.51000213623048,125.0,117.48201751708984,1709400,RCL,0.9958399472991154,1.0394883873556582,0.9473126230996408,1.0112728774332036,-0.0154329301340881,-0.0591965384676944,-0.1287224778654886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-13,125.3499984741211,128.08999633789062,125.2699966430664,127.7699966430664,120.08541107177734,1817900,RCL,0.9666589262212724,1.0142004029902474,0.9364168048775608,1.0098252549340063,-0.0431663287127341,-0.0940490953970276,-0.1404737989660561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-16,127.58000183105467,127.91999816894533,126.5,127.38999938964844,119.728271484375,1231000,RCL,0.9617709117121086,1.0150961344352751,0.8951388846407168,1.0047827275420922,-0.0430118158299835,-0.0999656307064325,-0.1904551127194896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-17,127.4000015258789,127.66000366210938,127.0,127.22000122070312,119.5685043334961,1013600,RCL,0.9651782727286476,1.0047637573129238,0.8875247789333428,1.016827126331923,-0.0516488536032754,-0.1162320128563925,-0.1994135073814574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-18,127.4800033569336,127.58000183105467,124.8499984741211,124.87999725341795,117.36922454833984,1855100,RCL,0.996156416036876,1.0661533394276157,0.8748038442209961,1.016900814218988,-0.0207443981821119,-0.0504303846696907,-0.2011915002036591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-19,124.5,124.6500015258789,121.05999755859376,121.12000274658205,113.83537292480467,2822700,RCL,1.0233652332374708,1.094439376889582,0.9133823437750284,1.0195478153138224,0.0038174179236483,-0.0221115254496195,-0.1644511975427958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-20,122.01000213623048,122.6999969482422,120.13999938964844,120.70999908447266,113.45002746582033,1898100,RCL,1.0337999916880305,1.1235441780504556,0.8966592876642168,1.0187296628598663,0.0150703288281641,0.006618652272911,-0.1688147215602473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-23,121.0,122.87999725341795,120.75,121.73999786376952,114.41808319091795,1503100,RCL,1.030474747394597,1.1123051419526575,0.8820227262679814,1.0231439317955078,0.0073308155990892,-0.0019330110120245,-0.1864344255976071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
