,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-385512000.0,39870000.0,1197817000.0,-162490000.0
Change To Liabilities,113141000.0,88592000.0,27072000.0,48558000.0
Total Cashflows From Investing Activities,-569794000.0,-156660000.0,923010000.0,-262801000.0
Total Cash From Financing Activities,-158286000.0,-574349000.0,-903421000.0,-245189000.0
Change To Operating Activities,-69800000.0,-28870000.0,-62736000.0,-3648000.0
Issuance Of Stock,28527000.0,29312000.0,20973000.0,24493000.0
Net Income,784147000.0,467468000.0,451779000.0,257692000.0
Change In Cash,140197000.0,-152828000.0,496909000.0,121959000.0
Repurchase Of Stock,-111479000.0,-514741000.0,-843501000.0,-213185000.0
Effect Of Exchange Rate,-658000.0,-569000.0,439000.0,3454000.0
Total Cash From Operating Activities,868935000.0,578750000.0,476881000.0,626495000.0
Depreciation,126743000.0,120655000.0,113224000.0,108075000.0
Other Cashflows From Investing Activities,546000.0,2912000.0,9046000.0,5064000.0
Dividends Paid,-66482000.0,-61305000.0,-67322000.0,-55447000.0
Change To Inventory,-8438000.0,-27408000.0,-29498000.0,44960000.0
Change To Account Receivables,-129451000.0,-70440000.0,-17938000.0,-80584000.0
Other Cashflows From Financing Activities,-8852000.0,-27615000.0,-13571000.0,-1050000.0
Change To Netincome,27424000.0,42337000.0,75407000.0,77640000.0
Capital Expenditures,-184977000.0,-134642000.0,-114379000.0,-105375000.0
