Unnamed: 0,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,2674919000.0,2371025000.0,2182031000.0,2003405000.0
Total Liab,13069400000.0,12036040000.0,11133535000.0,11041602000.0
Total Stockholder Equity,1835885000.0,1652491000.0,1461513000.0,1419101000.0
Other Current Liab,493350000.0,35694000.0,38286000.0,40319000.0
Total Assets,14905285000.0,13688531000.0,12595048000.0,12460703000.0
Common Stock,393000.0,412000.0,427000.0,443000.0
Other Current Assets,4528422000.0,4420684000.0,4387626000.0,4439138000.0
Retained Earnings,1705786000.0,1593281000.0,1489520000.0,1375090000.0
Other Liab,9716525000.0,9631054000.0,9014835000.0,9131366000.0
Treasury Stock,129706000.0,58798000.0,-28434000.0,43568000.0
Other Assets,2865769000.0,2640761000.0,2362514000.0,2719717000.0
Cash,547569000.0,256876000.0,262138000.0,279962000.0
Total Current Liabilities,1587237000.0,793034000.0,775354000.0,800567000.0
Deferred Long Term Asset Charges,69255000.0,69472000.0,59336000.0,48614000.0
Other Stockholder Equity,129706000.0,58798000.0,-28434000.0,43568000.0
Property Plant Equipment,104994000.0,94081000.0,35996000.0,28099000.0
Total Current Assets,5410619000.0,5000614000.0,4936803000.0,5003383000.0
Long Term Investments,3848984000.0,3582050000.0,3077704000.0,2706099000.0
Net Tangible Assets,1790610000.0,1607216000.0,1413402000.0,1367588000.0
Net Receivables,318328000.0,279821000.0,265258000.0,278055000.0
Long Term Debt,1720187000.0,1557765000.0,1343346000.0,1109669000.0
Accounts Payable,967476000.0,728617000.0,684506000.0,670462000.0
Short Term Investments,,,8171000.0,
Investments,-25907000.0,-176447000.0,-219284000.0,-124549000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-53529000.0,-201884000.0,-232801000.0,-131301000.0
Net Borrowings,-274000.0,-281000.0,-281000.0,-281000.0
Total Cash From Financing Activities,-301790000.0,-290134000.0,-260997000.0,-193461000.0
Change To Operating Activities,513491000.0,306122000.0,306208000.0,302640000.0
Net Income,386164000.0,366391000.0,324094000.0,350255000.0
Change In Cash,290693000.0,-5262000.0,-17824000.0,67986000.0
Repurchase Of Stock,-237170000.0,-232223000.0,-216857000.0,-156772000.0
Effect Of Exchange Rate,2595000.0,1243000.0,-2093000.0,1204000.0
Total Cash From Operating Activities,643417000.0,485513000.0,478067000.0,391544000.0
Depreciation,17697000.0,18300000.0,12417000.0,13551000.0
Dividends Paid,-64346000.0,-57630000.0,-44140000.0,-35821000.0
Change To Account Receivables,-32348000.0,-11965000.0,14383000.0,-19074000.0
Change To Netincome,-460900000.0,-442700000.0,-421130000.0,-463068000.0
Capital Expenditures,-27622000.0,-25437000.0,-13517000.0,-6752000.0
Other Cashflows From Financing Activities,,,,-868000.0
