Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Capital Surplus,Deferred Long Term Asset Charges,Short Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Effect Of Exchange Rate,Other Cashflows From Investing Activities
2017-09-29,56.83000183105469,57.18999862670898,56.36000061035156,56.959999084472656,51.30530548095703,2691100,BBY,0.9827949664289308,1.1876952227827933,1.25987001034546,1.0206479989635429,-0.037853032534612,0.0974348340603472,0.1705768113542571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,57.11000061035156,57.709999084472656,56.91999816894531,57.41999816894531,51.71963882446289,2359400,BBY,0.9754440793707446,1.2060237824285645,1.2566507446935546,1.012478214064533,-0.0370341346937883,0.1173162266671647,0.1675198662166208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,57.31999969482422,57.869998931884766,56.84000015258789,56.90999984741211,51.26026916503906,2640900,BBY,1.0075558292822542,1.2313197652075836,1.2648893713834612,1.0113391723313174,-0.0037833430490632,0.1413563902026815,0.1830887291628891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,56.90999984741211,57.470001220703125,56.83000183105469,57.150001525878906,51.476444244384766,2301100,BBY,0.9959756906668557,1.2277323341120112,1.2733897371478693,1.0126829906128405,-0.0167072999459848,0.1392486470904448,0.1834303705512052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,57.41999816894531,58.09000015258789,57.18999862670898,57.4900016784668,51.7827033996582,2947400,BBY,0.9808659971527548,1.2302658840732916,1.2806453264478868,1.0121464877707815,-0.0312804906180267,0.1474654083901789,0.1827235776766276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,57.25,58.869998931884766,57.25,58.7599983215332,52.92661285400391,4018200,BBY,0.9382233198797726,1.2271195412210434,1.2986069157326798,1.0081446760609294,-0.0699213561811568,0.1321763183940072,0.1980338492969162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,59.0,59.459999084472656,58.58000183105469,59.040000915527344,53.17881393432617,2649100,BBY,0.9578252785210754,1.247527941415617,1.2571376349511536,1.0143616235707735,-0.0565363450496981,0.1438125164629644,0.1586554887744566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,58.43999862670898,58.540000915527344,57.0,57.16999816894531,51.49446868896485,3999700,BBY,0.9783101905731147,1.2733840503042972,1.279847804639259,1.008797349947511,-0.0304871593743961,0.1805333741603516,0.1905504919453033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,57.04999923706055,57.27999877929688,55.18999862670898,55.470001220703125,49.96323013305664,5810800,BBY,1.0218135269612412,1.34612604591038,1.3409649323259498,1.0091988628593096,0.0126146641019315,0.2448938381676737,0.2528678821329562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,55.47999954223633,55.59999847412109,54.43999862670898,55.130001068115234,49.656982421875,4025900,BBY,1.0333757128985472,1.362270766243025,1.3431772228914185,1.0112728774332036,0.0221028354653436,0.2635858404196722,0.267142121926289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
