Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2019-09-19,40.34999847412109,41.43999862670898,36.02999877929688,37.54999923706055,37.54999923706055,22025800,DDOG,0.7992010875798636,1.006657789749121,0.9254327751278076,0.995011450677082,-0.1958103630972183,-0.0644325465517832,0.1177771360001396,1288000.0,30834000.0,114986000.0,-76041000.0,7292000.0,73349000.0,179750000.0,,7073000.0,-106906000.0,2752000.0,7626000.0,31000.0,27236000.0,53639000.0,112234000.0,31000.0,21649000.0,121951000.0,-84955000.0,,56348000.0,,12638000.0,-176639000.0,38840000.0,-17456000.0,730207000.0,7782000.0,-6354000.0,7782000.0,-10762000.0,1202000.0,-1040000.0,47000.0,10829000.0,5515000.0,-25322000.0,-90046000.0,5730000.0,-9662000.0
2019-09-20,38.59000015258789,39.20000076293945,36.150001525878906,36.150001525878906,36.150001525878906,3322600,DDOG,0.7756569773711957,1.0260027271654764,0.995297317386809,0.9960398818346244,-0.2203829044634286,-0.0495952478960695,0.1979987176735929,1288000.0,30834000.0,114986000.0,-76041000.0,7292000.0,73349000.0,179750000.0,,7073000.0,-106906000.0,2752000.0,7626000.0,31000.0,27236000.0,53639000.0,112234000.0,31000.0,21649000.0,121951000.0,-84955000.0,,56348000.0,,12638000.0,-176639000.0,38840000.0,-17456000.0,730207000.0,7782000.0,-6354000.0,7782000.0,-10762000.0,1202000.0,-1040000.0,47000.0,10829000.0,5515000.0,-25322000.0,-90046000.0,5730000.0,-9662000.0
2019-09-23,36.58000183105469,38.150001525878906,35.75,36.11000061035156,36.11000061035156,2237300,DDOG,0.7964552684232656,1.0512323024882686,0.9659374267115428,0.9976146190139424,-0.2011593505906769,-0.0259245978631021,0.2110366741149565,1288000.0,30834000.0,114986000.0,-76041000.0,7292000.0,73349000.0,179750000.0,,7073000.0,-106906000.0,2752000.0,7626000.0,31000.0,27236000.0,53639000.0,112234000.0,31000.0,21649000.0,121951000.0,-84955000.0,,56348000.0,,12638000.0,-176639000.0,38840000.0,-17456000.0,730207000.0,7782000.0,-6354000.0,7782000.0,-10762000.0,1202000.0,-1040000.0,47000.0,10829000.0,5515000.0,-25322000.0,-90046000.0,5730000.0,-9662000.0
2019-09-24,36.0099983215332,37.119998931884766,34.060001373291016,34.5,34.5,3175000,DDOG,0.9420289855072465,1.0466666843580164,1.0028985064962637,1.0119348901247942,-0.0699059046175477,-0.0416567327141803,0.2306671422422371,1288000.0,30834000.0,114986000.0,-76041000.0,7292000.0,73349000.0,179750000.0,,7073000.0,-106906000.0,2752000.0,7626000.0,31000.0,27236000.0,53639000.0,112234000.0,31000.0,21649000.0,121951000.0,-84955000.0,,56348000.0,,12638000.0,-176639000.0,38840000.0,-17456000.0,730207000.0,7782000.0,-6354000.0,7782000.0,-10762000.0,1202000.0,-1040000.0,47000.0,10829000.0,5515000.0,-25322000.0,-90046000.0,5730000.0,-9662000.0
2019-09-25,34.599998474121094,35.599998474121094,34.20000076293945,35.25,35.25,3026600,DDOG,0.9730496237463984,1.0533333636344748,0.9841134362186946,1.0097773436008184,-0.03672771985442,-0.0230596440717414,0.2329241838334729,1288000.0,30834000.0,114986000.0,-76041000.0,7292000.0,73349000.0,179750000.0,,7073000.0,-106906000.0,2752000.0,7626000.0,31000.0,27236000.0,53639000.0,112234000.0,31000.0,21649000.0,121951000.0,-84955000.0,,56348000.0,,12638000.0,-176639000.0,38840000.0,-17456000.0,730207000.0,7782000.0,-6354000.0,7782000.0,-10762000.0,1202000.0,-1040000.0,47000.0,10829000.0,5515000.0,-25322000.0,-90046000.0,5730000.0,-9662000.0
2019-09-26,36.0,36.290000915527344,32.29999923706055,32.439998626708984,32.439998626708984,2658200,DDOG,1.0258939638763205,1.1646116023010953,1.1183723894928372,1.0188342190622592,0.0070597448140612,0.0788652874758211,0.3030987517458176,1288000.0,30834000.0,114986000.0,-76041000.0,7292000.0,73349000.0,179750000.0,,7073000.0,-106906000.0,2752000.0,7626000.0,31000.0,27236000.0,53639000.0,112234000.0,31000.0,21649000.0,121951000.0,-84955000.0,,56348000.0,,12638000.0,-176639000.0,38840000.0,-17456000.0,730207000.0,7782000.0,-6354000.0,7782000.0,-10762000.0,1202000.0,-1040000.0,47000.0,10829000.0,5515000.0,-25322000.0,-90046000.0,5730000.0,-9662000.0
2019-09-27,33.0,33.5099983215332,30.46999931335449,32.27000045776367,32.27000045776367,2475900,DDOG,1.0427642097471128,1.1372792142031096,1.1124884108032886,1.0279220586600373,0.0148421510870755,0.0392851084062997,0.2855672073382498,1288000.0,30834000.0,114986000.0,-76041000.0,7292000.0,73349000.0,179750000.0,,7073000.0,-106906000.0,2752000.0,7626000.0,31000.0,27236000.0,53639000.0,112234000.0,31000.0,21649000.0,121951000.0,-84955000.0,,56348000.0,,12638000.0,-176639000.0,38840000.0,-17456000.0,730207000.0,7782000.0,-6354000.0,7782000.0,-10762000.0,1202000.0,-1040000.0,47000.0,10829000.0,5515000.0,-25322000.0,-90046000.0,5730000.0,-9662000.0
2019-09-30,32.63999938964844,34.20000076293945,32.0,33.90999984741211,33.90999984741211,1385000,DDOG,1.0265408885263558,1.1035092402632691,1.0955470862001218,1.0229391089257944,0.0036017796005614,0.0170447552123702,0.2361398579533019,1288000.0,30834000.0,114986000.0,-76041000.0,7292000.0,73349000.0,179750000.0,,7073000.0,-106906000.0,2752000.0,7626000.0,31000.0,27236000.0,53639000.0,112234000.0,31000.0,21649000.0,121951000.0,-84955000.0,,56348000.0,,12638000.0,-176639000.0,38840000.0,-17456000.0,730207000.0,7782000.0,-6354000.0,7782000.0,-10762000.0,1202000.0,-1040000.0,47000.0,10829000.0,5515000.0,-25322000.0,-90046000.0,5730000.0,-9662000.0
2019-10-01,34.25,34.47999954223633,31.25,32.38999938964844,32.38999938964844,1291300,DDOG,1.0370484960034598,1.2318617560280227,1.1407842377035782,1.0331074467465924,0.0039410492568674,0.1252650173913618,0.243951181635969,1288000.0,30834000.0,114986000.0,-76041000.0,7292000.0,73349000.0,179750000.0,,7073000.0,-106906000.0,2752000.0,7626000.0,31000.0,27236000.0,53639000.0,112234000.0,31000.0,21649000.0,121951000.0,-84955000.0,,56348000.0,,12638000.0,-176639000.0,38840000.0,-17456000.0,730207000.0,7782000.0,-6354000.0,7782000.0,-10762000.0,1202000.0,-1040000.0,47000.0,10829000.0,5515000.0,-25322000.0,-90046000.0,5730000.0,-9662000.0
2019-10-02,31.64999961853028,31.89999961853028,30.01000022888184,31.100000381469727,31.100000381469727,1877200,DDOG,1.0938906765426848,1.2881029222481912,1.217684838179256,1.0645124703401363,0.0293782062025482,0.1642959967858908,0.3247670081089007,1288000.0,30834000.0,114986000.0,-76041000.0,7292000.0,73349000.0,179750000.0,,7073000.0,-106906000.0,2752000.0,7626000.0,31000.0,27236000.0,53639000.0,112234000.0,31000.0,21649000.0,121951000.0,-84955000.0,,56348000.0,,12638000.0,-176639000.0,38840000.0,-17456000.0,730207000.0,7782000.0,-6354000.0,7782000.0,-10762000.0,1202000.0,-1040000.0,47000.0,10829000.0,5515000.0,-25322000.0,-90046000.0,5730000.0,-9662000.0
