Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,39.290000915527344,40.0099983215332,39.09999847412109,39.93000030517578,38.081180572509766,9041700,DHI,1.1071874662229948,1.3072577274024513,1.1208273910012598,1.0206479989635429,0.0865394672594519,0.2169973386800052,0.0315341920100569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,40.369998931884766,40.369998931884766,39.70000076293945,39.97999954223633,38.12886047363281,6194700,DHI,1.1188095107557066,1.3161541099714145,1.1118825218213608,1.012478214064533,0.1063312966911735,0.2274465542100148,0.022751643344427,,2992200000.0,4437000000.0,7747100000.0,500000.0,164000000.0,12184600000.0,3800000.0,9300000.0,4946000000.0,506000000.0,80000000.0,-194900000.0,888700000.0,983700000.0,2385100000.0,365000000.0,399700000.0,322000000.0,10848700000.0,8800000.0,7667100000.0,112700000.0,2051900000.0,9237100000.0,578900000.0,-8800000.0,89000000.0,-164000000.0,-410300000.0,-564600000.0,3900000.0,46700000.0,1038400000.0,-288400000.0,-65700000.0,440200000.0,54700000.0,-149600000.0,-946700000.0,14300000.0,195900000.0,-157300000.0
2017-10-03,40.13999938964844,40.63999938964844,39.84000015258789,40.27000045776367,38.40543746948242,7443100,DHI,1.1082693212141137,1.316135126450733,1.1103655184298784,1.0113391723313174,0.0969301488827962,0.226171751445831,0.0285648762093062,,2992200000.0,4437000000.0,7747100000.0,500000.0,164000000.0,12184600000.0,3800000.0,9300000.0,4946000000.0,506000000.0,80000000.0,-194900000.0,888700000.0,983700000.0,2385100000.0,365000000.0,399700000.0,322000000.0,10848700000.0,8800000.0,7667100000.0,112700000.0,2051900000.0,9237100000.0,578900000.0,-8800000.0,89000000.0,-164000000.0,-410300000.0,-564600000.0,3900000.0,46700000.0,1038400000.0,-288400000.0,-65700000.0,440200000.0,54700000.0,-149600000.0,-946700000.0,14300000.0,195900000.0,-157300000.0
2017-10-04,40.34999847412109,40.84999847412109,40.150001525878906,40.84000015258789,38.94903564453125,4156600,DHI,1.0852108899130444,1.2967849190069278,1.1024991929683254,1.0126829906128405,0.0725278993002038,0.2083012319853614,0.0125398263716614,,2992200000.0,4437000000.0,7747100000.0,500000.0,164000000.0,12184600000.0,3800000.0,9300000.0,4946000000.0,506000000.0,80000000.0,-194900000.0,888700000.0,983700000.0,2385100000.0,365000000.0,399700000.0,322000000.0,10848700000.0,8800000.0,7667100000.0,112700000.0,2051900000.0,9237100000.0,578900000.0,-8800000.0,89000000.0,-164000000.0,-410300000.0,-564600000.0,3900000.0,46700000.0,1038400000.0,-288400000.0,-65700000.0,440200000.0,54700000.0,-149600000.0,-946700000.0,14300000.0,195900000.0,-157300000.0
2017-10-05,40.810001373291016,41.060001373291016,40.52000045776367,40.619998931884766,38.73921585083008,3681500,DHI,1.103890173883408,1.2579048498348588,1.1243093598948248,1.0121464877707815,0.0917436861126264,0.1751043741517461,0.0263876111235656,,2992200000.0,4437000000.0,7747100000.0,500000.0,164000000.0,12184600000.0,3800000.0,9300000.0,4946000000.0,506000000.0,80000000.0,-194900000.0,888700000.0,983700000.0,2385100000.0,365000000.0,399700000.0,322000000.0,10848700000.0,8800000.0,7667100000.0,112700000.0,2051900000.0,9237100000.0,578900000.0,-8800000.0,89000000.0,-164000000.0,-410300000.0,-564600000.0,3900000.0,46700000.0,1038400000.0,-288400000.0,-65700000.0,440200000.0,54700000.0,-149600000.0,-946700000.0,14300000.0,195900000.0,-157300000.0
2017-10-06,40.709999084472656,41.29999923706055,40.650001525878906,41.08000183105469,39.17792892456055,4131700,DHI,1.094206484958169,1.2699301935812914,1.1151451974093352,1.0081446760609294,0.0860618088972395,0.1749869707542553,0.0145721309735715,,2992200000.0,4437000000.0,7747100000.0,500000.0,164000000.0,12184600000.0,3800000.0,9300000.0,4946000000.0,506000000.0,80000000.0,-194900000.0,888700000.0,983700000.0,2385100000.0,365000000.0,399700000.0,322000000.0,10848700000.0,8800000.0,7667100000.0,112700000.0,2051900000.0,9237100000.0,578900000.0,-8800000.0,89000000.0,-164000000.0,-410300000.0,-564600000.0,3900000.0,46700000.0,1038400000.0,-288400000.0,-65700000.0,440200000.0,54700000.0,-149600000.0,-946700000.0,14300000.0,195900000.0,-157300000.0
2017-10-09,41.08000183105469,41.45000076293945,40.959999084472656,41.22999954223633,39.32098388671875,3540600,DHI,1.1013824536077674,1.2621490993193478,1.066956739388577,1.0143616235707735,0.0870208300369939,0.1584336743666952,-0.0315254067881198,,2992200000.0,4437000000.0,7747100000.0,500000.0,164000000.0,12184600000.0,3800000.0,9300000.0,4946000000.0,506000000.0,80000000.0,-194900000.0,888700000.0,983700000.0,2385100000.0,365000000.0,399700000.0,322000000.0,10848700000.0,8800000.0,7667100000.0,112700000.0,2051900000.0,9237100000.0,578900000.0,-8800000.0,89000000.0,-164000000.0,-410300000.0,-564600000.0,3900000.0,46700000.0,1038400000.0,-288400000.0,-65700000.0,440200000.0,54700000.0,-149600000.0,-946700000.0,14300000.0,195900000.0,-157300000.0
2017-10-10,41.36000061035156,41.5099983215332,40.810001373291016,41.27999877929688,39.3686752319336,2726100,DHI,1.1140989443872644,1.2343924989501232,1.0473998625228698,1.008797349947511,0.1053015944397535,0.1415418228061775,-0.0418974501710858,,2992200000.0,4437000000.0,7747100000.0,500000.0,164000000.0,12184600000.0,3800000.0,9300000.0,4946000000.0,506000000.0,80000000.0,-194900000.0,888700000.0,983700000.0,2385100000.0,365000000.0,399700000.0,322000000.0,10848700000.0,8800000.0,7667100000.0,112700000.0,2051900000.0,9237100000.0,578900000.0,-8800000.0,89000000.0,-164000000.0,-410300000.0,-564600000.0,3900000.0,46700000.0,1038400000.0,-288400000.0,-65700000.0,440200000.0,54700000.0,-149600000.0,-946700000.0,14300000.0,195900000.0,-157300000.0
2017-10-11,41.25,41.56999969482422,41.15999984741211,41.47999954223633,39.55941009521485,2005000,DHI,1.1089681244311858,1.2591340508079736,1.0534981661986935,1.0091988628593096,0.0997692615718761,0.1579018430652672,-0.0345988839943001,,2992200000.0,4437000000.0,7747100000.0,500000.0,164000000.0,12184600000.0,3800000.0,9300000.0,4946000000.0,506000000.0,80000000.0,-194900000.0,888700000.0,983700000.0,2385100000.0,365000000.0,399700000.0,322000000.0,10848700000.0,8800000.0,7667100000.0,112700000.0,2051900000.0,9237100000.0,578900000.0,-8800000.0,89000000.0,-164000000.0,-410300000.0,-564600000.0,3900000.0,46700000.0,1038400000.0,-288400000.0,-65700000.0,440200000.0,54700000.0,-149600000.0,-946700000.0,14300000.0,195900000.0,-157300000.0
2017-10-12,41.36000061035156,41.540000915527344,41.2599983215332,41.27999877929688,39.3686752319336,2865300,DHI,1.1407459423026274,1.237063845859727,1.0651773181727362,1.0112728774332036,0.1294730648694237,0.1383789200363743,-0.0108577827923932,,2992200000.0,4437000000.0,7747100000.0,500000.0,164000000.0,12184600000.0,3800000.0,9300000.0,4946000000.0,506000000.0,80000000.0,-194900000.0,888700000.0,983700000.0,2385100000.0,365000000.0,399700000.0,322000000.0,10848700000.0,8800000.0,7667100000.0,112700000.0,2051900000.0,9237100000.0,578900000.0,-8800000.0,89000000.0,-164000000.0,-410300000.0,-564600000.0,3900000.0,46700000.0,1038400000.0,-288400000.0,-65700000.0,440200000.0,54700000.0,-149600000.0,-946700000.0,14300000.0,195900000.0,-157300000.0
