Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Other Current Assets,Short Term Investments,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Change To Operating Activities
1980-03-17,0.0,2.4439809322357178,2.402790069580078,2.402790069580078,1.0532780885696411,181170,MAS,0.988571153060646,1.21142778305382,1.451427457097401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-18,0.0,2.47144103050232,2.402790069580078,2.47144103050232,1.0833715200424194,42789,MAS,0.96111104570114,1.1555550469471816,1.388887892456618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-19,0.0,2.4989020824432373,2.4577109813690186,2.4577109813690186,1.0773521661758425,40968,MAS,0.966480940217328,1.1731846857837107,1.3910624471299258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-20,0.0,2.4989020824432373,2.4577109813690186,2.4577109813690186,1.0773521661758425,545330,MAS,0.9553075883390124,1.1955308362890782,1.3798889846013571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-21,0.0,2.4302499294281006,2.3890600204467773,2.402790069580078,1.0532780885696411,29133,MAS,0.977142419300604,1.222856290455238,1.342856580194277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-24,0.0,2.3890600204467773,2.306678056716919,2.306678056716919,1.011146068572998,247629,MAS,1.0416675901792338,1.2916674722840125,1.4107144120305943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-25,0.0,2.375329971313477,2.320409059524536,2.375329971313477,1.0412403345108032,78294,MAS,1.0057803732919712,1.2543352799689784,1.393063094098533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-26,0.0,2.36159896850586,2.306678056716919,2.306678056716919,1.011146068572998,217586,MAS,1.0416675901792338,1.2857151783495329,1.464285646917017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-27,0.0,2.2792179584503174,2.1693758964538574,2.1693758964538574,0.9509587287902832,201198,MAS,1.1265828195787504,1.4113920639019608,1.613924650442134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-28,0.0,2.2517569065093994,2.1968369483947754,2.224297046661377,0.9750341176986694,120173,MAS,1.0740743050127648,1.3765421932934834,1.5925915058222837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-03-31,0.0,2.306678056716919,2.2380270957946777,2.2380270957946777,0.981052577495575,91950,MAS,1.073620428436611,1.36196361808387,1.5644174116189775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-04-01,0.0,2.292948007583618,2.2380270957946777,2.2792179584503174,0.9991086721420288,159320,MAS,1.0421692489951535,1.3433729886813606,1.524097046090796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
