,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,2496000.0,11972000.0,9807000.0,9337000.0
Total Cashflows From Investing Activities,-25998000.0,-111692000.0,-81533000.0,-18720000.0
Total Cash From Financing Activities,-201660000.0,-50899000.0,-70049000.0,-44948000.0
Net Income,176049000.0,318728000.0,209736000.0,97231000.0
Change In Cash,-20621000.0,180199000.0,43866000.0,30162000.0
Total Cash From Operating Activities,207037000.0,342790000.0,195448000.0,93830000.0
Depreciation,14395000.0,8906000.0,2583000.0,376000.0
Dividends Paid,-77561000.0,-13576000.0,-8206000.0,-2769000.0
Change To Account Receivables,18828000.0,-13802000.0,-34027000.0,-12026000.0
Change To Netincome,-3514000.0,3924000.0,14789000.0,1100000.0
Capital Expenditures,-5086000.0,-32209000.0,-47878000.0,-18747000.0
Repurchase Of Stock,,-4353000.0,-38397000.0,-34267000.0
