Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Inventory,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Other Cashflows From Investing Activities
2020-08-06,42.5,43.470001220703125,34.97999954223633,40.0,40.0,8211700,OSH,1.1657500267028809,1.3717499732971192,1.5234999656677244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-07,37.11000061035156,39.959999084472656,37.11000061035156,39.0,39.0,831600,OSH,1.198717948717949,1.2699999686999202,1.5694871560121193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-10,39.0,44.400001525878906,38.220001220703125,44.0,44.0,1016400,OSH,0.9979545419866388,1.1720454476096414,1.3556818528608845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-11,44.119998931884766,48.24300003051758,44.0,44.56999969482422,44.56999969482422,1157900,OSH,0.9499663550032448,1.054520985456905,1.3378954784924508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-12,44.650001525878906,45.5,40.38999938964844,44.25,44.25,701700,OSH,0.9170621882724224,1.0280226368015095,1.3303954560877913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,44.25,47.40999984741211,43.02000045776367,46.38999938964844,46.38999938964844,419000,OSH,0.8920026215251224,0.9737012020531444,1.2323776443442322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-14,45.400001525878906,46.97499847412109,45.0,46.63999938964844,46.63999938964844,307400,OSH,0.8900085519886646,0.9937821415239616,1.2221269456673904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-17,46.0,46.9900016784668,45.380001068115234,45.88999938964844,45.88999938964844,265400,OSH,0.8692525587317084,0.9995641652205344,1.206363071402422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-18,45.5,46.43999862670898,42.83000183105469,46.13999938964844,46.13999938964844,210700,OSH,0.9156913861918872,0.9839619013099608,1.149328120519963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-19,45.72999954223633,46.07500076293945,41.25,41.5099983215332,41.5099983215332,501400,OSH,1.0183088934464306,1.1274391984926475,1.2519875529299604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
