Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Short Long Term Debt,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-04-21,35.0,38.27999877929688,33.040000915527344,36.0,36.0,10062400,DV,0.894444465637207,0.9586110644870334,142365000.0,283178000.0,148253000.0,318018000.0,,12653000.0,466271000.0,419000.0,1322000.0,34488000.0,39995000.0,227349000.0,-67000.0,628000.0,10920000.0,32010000.0,95000.0,-67000.0,10694000.0,85235000.0,-51696000.0,68683000.0,72730000.0,1143000.0,471000.0,-1714000.0,-36499000.0,-938000.0,-2817000.0,6702000.0,118000.0,7656000.0,-36049000.0,39000.0,3228000.0,5200000.0,-16529000.0,-1997000.0,1437000.0,-1940000.0
2021-04-22,35.040000915527344,37.5,34.209999084472656,35.77000045776367,35.77000045776367,994000,DV,0.922840310290479,0.912776100308727,126176000.0,287546000.0,140128000.0,335198000.0,,3004000.0,475326000.0,420000.0,397000.0,46811000.0,36205000.0,227349000.0,421000.0,637000.0,17289000.0,28208000.0,95000.0,421000.0,17548000.0,103616000.0,-18327000.0,77204000.0,72364000.0,4766000.0,485000.0,0.0,-3206000.0,-52101000.0,15296000.0,1979000.0,396000.0,5805000.0,15709000.0,241000.0,3378000.0,5028000.0,-18810000.0,-279149000.0,3273000.0,-3206000.0
2021-04-23,35.0099983215332,35.650001525878906,33.20100021362305,34.2400016784668,34.2400016784668,916700,DV,1.0163550680824274,1.0163550680824274,121710000.0,620398000.0,94639000.0,416085000.0,1400000.0,3591000.0,511334000.0,421000.0,10441000.0,54941000.0,35172000.0,227349000.0,-259675000.0,2233000.0,33354000.0,34020000.0,82000.0,1011000.0,18107000.0,141935000.0,67026000.0,94677000.0,22000000.0,3495000.0,,601000.0,-3206000.0,-52101000.0,15296000.0,1979000.0,396000.0,8130000.0,15709000.0,241000.0,3378000.0,5028000.0,-18810000.0,-279149000.0,3273000.0,-3206000.0
2021-04-26,34.400001525878906,35.34000015258789,34.09000015258789,34.86000061035156,34.86000061035156,342600,DV,1.0063109930249914,1.0298336459356952,121710000.0,620398000.0,94639000.0,416085000.0,1400000.0,3591000.0,511334000.0,421000.0,10441000.0,54941000.0,35172000.0,227349000.0,-259675000.0,2233000.0,33354000.0,34020000.0,82000.0,1011000.0,18107000.0,141935000.0,67026000.0,94677000.0,22000000.0,3495000.0,,601000.0,-3206000.0,-52101000.0,15296000.0,1979000.0,396000.0,8130000.0,15709000.0,241000.0,3378000.0,5028000.0,-18810000.0,-279149000.0,3273000.0,-3206000.0
2021-04-27,35.310001373291016,35.51300048828125,34.16999816894531,34.59000015258789,34.59000015258789,208000,DV,1.061578521500986,1.000289052370312,121710000.0,620398000.0,94639000.0,416085000.0,1400000.0,3591000.0,511334000.0,421000.0,10441000.0,54941000.0,35172000.0,227349000.0,-259675000.0,2233000.0,33354000.0,34020000.0,82000.0,1011000.0,18107000.0,141935000.0,67026000.0,94677000.0,22000000.0,3495000.0,,601000.0,-3206000.0,-52101000.0,15296000.0,1979000.0,396000.0,8130000.0,15709000.0,241000.0,3378000.0,5028000.0,-18810000.0,-279149000.0,3273000.0,-3206000.0
2021-04-28,34.29999923706055,34.89500045776367,34.0099983215332,34.2400016784668,34.2400016784668,339300,DV,1.0773947891728113,1.0134345520421495,121710000.0,620398000.0,94639000.0,416085000.0,1400000.0,3591000.0,511334000.0,421000.0,10441000.0,54941000.0,35172000.0,227349000.0,-259675000.0,2233000.0,33354000.0,34020000.0,82000.0,1011000.0,18107000.0,141935000.0,67026000.0,94677000.0,22000000.0,3495000.0,,601000.0,-3206000.0,-52101000.0,15296000.0,1979000.0,396000.0,8130000.0,15709000.0,241000.0,3378000.0,5028000.0,-18810000.0,-279149000.0,3273000.0,-3206000.0
2021-04-29,34.2599983215332,34.49700164794922,31.43000030517578,34.27000045776367,34.27000045776367,534400,DV,1.0166326141584596,1.0140064060643337,121710000.0,620398000.0,94639000.0,416085000.0,1400000.0,3591000.0,511334000.0,421000.0,10441000.0,54941000.0,35172000.0,227349000.0,-259675000.0,2233000.0,33354000.0,34020000.0,82000.0,1011000.0,18107000.0,141935000.0,67026000.0,94677000.0,22000000.0,3495000.0,,601000.0,-3206000.0,-52101000.0,15296000.0,1979000.0,396000.0,8130000.0,15709000.0,241000.0,3378000.0,5028000.0,-18810000.0,-279149000.0,3273000.0,-3206000.0
2021-04-30,33.59000015258789,35.47999954223633,33.31999969482422,35.209999084472656,35.209999084472656,702300,DV,1.040897542710851,0.9994319665355376,121710000.0,620398000.0,94639000.0,416085000.0,1400000.0,3591000.0,511334000.0,421000.0,10441000.0,54941000.0,35172000.0,227349000.0,-259675000.0,2233000.0,33354000.0,34020000.0,82000.0,1011000.0,18107000.0,141935000.0,67026000.0,94677000.0,22000000.0,3495000.0,,601000.0,-3206000.0,-52101000.0,15296000.0,1979000.0,396000.0,8130000.0,15709000.0,241000.0,3378000.0,5028000.0,-18810000.0,-279149000.0,3273000.0,-3206000.0
2021-05-03,35.630001068115234,36.92499923706055,35.54100036621094,35.7599983215332,35.7599983215332,198300,DV,0.9700783069058504,0.9700783069058504,121710000.0,620398000.0,94639000.0,416085000.0,1400000.0,3591000.0,511334000.0,421000.0,10441000.0,54941000.0,35172000.0,227349000.0,-259675000.0,2233000.0,33354000.0,34020000.0,82000.0,1011000.0,18107000.0,141935000.0,67026000.0,94677000.0,22000000.0,3495000.0,,601000.0,-3206000.0,-52101000.0,15296000.0,1979000.0,396000.0,8130000.0,15709000.0,241000.0,3378000.0,5028000.0,-18810000.0,-279149000.0,3273000.0,-3206000.0
2021-05-04,35.529998779296875,35.75,34.08000183105469,34.630001068115234,34.630001068115234,239200,DV,1.017037254819236,0.9861391993233788,121710000.0,620398000.0,94639000.0,416085000.0,1400000.0,3591000.0,511334000.0,421000.0,10441000.0,54941000.0,35172000.0,227349000.0,-259675000.0,2233000.0,33354000.0,34020000.0,82000.0,1011000.0,18107000.0,141935000.0,67026000.0,94677000.0,22000000.0,3495000.0,,601000.0,-3206000.0,-52101000.0,15296000.0,1979000.0,396000.0,8130000.0,15709000.0,241000.0,3378000.0,5028000.0,-18810000.0,-279149000.0,3273000.0,-3206000.0
2021-05-05,34.09000015258789,34.810001373291016,34.09000015258789,34.560001373291016,34.560001373291016,141600,DV,1.0170717629960473,0.9837962572037452,121710000.0,620398000.0,94639000.0,416085000.0,1400000.0,3591000.0,511334000.0,421000.0,10441000.0,54941000.0,35172000.0,227349000.0,-259675000.0,2233000.0,33354000.0,34020000.0,82000.0,1011000.0,18107000.0,141935000.0,67026000.0,94677000.0,22000000.0,3495000.0,,601000.0,-3206000.0,-52101000.0,15296000.0,1979000.0,396000.0,8130000.0,15709000.0,241000.0,3378000.0,5028000.0,-18810000.0,-279149000.0,3273000.0,-3206000.0
