,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,2482000.0,-538000.0,-339000.0
Total Cashflows From Investing Activities,-9751000.0,-63195000.0,-12968000.0
Net Borrowings,-53906000.0,17729000.0,22939000.0
Total Cash From Financing Activities,10385000.0,15045000.0,22901000.0
Change To Operating Activities,-5467000.0,11106000.0,2165000.0
Issuance Of Stock,1204000.0,177000.0,107000.0
Net Income,20453000.0,23307000.0,3177000.0
Change In Cash,22053000.0,-18694000.0,21915000.0
Effect Of Exchange Rate,203000.0,23000.0,-76000.0
Total Cash From Operating Activities,21216000.0,29433000.0,12058000.0
Depreciation,23195000.0,21413000.0,18626000.0
Change To Account Receivables,-30443000.0,-32741000.0,-12972000.0
Other Cashflows From Financing Activities,-283063000.0,-2861000.0,-145000.0
Change To Netincome,5756000.0,6188000.0,1100000.0
Capital Expenditures,-9751000.0,-5943000.0,-1640000.0
