Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Dividends Paid
2021-01-19,27.0,28.64999961853028,25.299999237060547,28.6299991607666,28.6299991607666,2375100,DRVN,1.0789381870460846,0.8980090757286715,1.0971009698964682,655653000.0,,1627893000.0,268698000.0,1365000.0,7149000.0,26375000.0,1897956000.0,280839000.0,32375000.0,,121813000.0,861810000.0,-12141000.0,12641000.0,60154000.0,166893000.0,13050000.0,-12141000.0,142002000.0,225850000.0,-1248765000.0,93746000.0,1339187000.0,27478000.0,76939000.0,20231000.0,-17147000.0,36238000.0,34351000.0,-9023000.0,2609000.0,-3848000.0,26937000.0,-42977000.0,3850000.0,5883000.0,7799000.0,100174000.0,-1851000.0,-14067000.0,-1887000.0,5509000.0,-16172000.0,
2021-01-20,28.56999969482422,29.89999961853028,27.020000457763672,29.5,29.5,1595800,DRVN,1.0586440522791976,0.8945762504965573,1.076271186440678,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-01-21,31.420000076293945,32.95000076293945,29.14999961853028,29.25,29.25,2525800,DRVN,1.073846148629474,0.9398290520040398,1.0878632374298878,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-01-22,29.030000686645508,30.84000015258789,29.030000686645508,29.790000915527344,29.790000915527344,4161700,DRVN,1.038939235037334,0.9714669232847628,1.0590801701055284,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-01-25,30.989999771118164,31.299999237060547,29.01000022888184,29.979999542236328,29.979999542236328,1308600,DRVN,0.9729820053932542,0.9806537714288842,1.0273515579501258,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-01-26,30.600000381469727,31.15999984741211,30.0,30.06999969482422,30.06999969482422,601800,DRVN,0.9477885031340904,0.9484536330964,1.0292650840387838,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-01-27,30.09000015258789,30.3700008392334,29.0,29.1299991607666,29.1299991607666,776600,DRVN,0.9982835826123918,0.9721936323625672,1.004119493398236,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-01-28,29.5,29.89999961853028,27.479999542236328,27.950000762939453,27.950000762939453,1018200,DRVN,1.0633273167119903,1.01288009635693,1.0329159231191802,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-01-29,28.100000381469727,28.64999961853028,26.809999465942383,28.100000381469727,28.100000381469727,714400,DRVN,1.0430604650550317,1.0259786310436392,1.020640566399726,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-02-01,28.739999771118164,29.8799991607666,27.600000381469727,28.940000534057617,28.940000534057617,526700,DRVN,0.940912199023324,0.9651002000607004,0.9961990114608976,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-02-02,29.0,29.09499931335449,28.0,28.21999931335449,28.21999931335449,414200,DRVN,0.9766123365176776,0.9964564678754698,1.0474840604249684,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-02-03,28.5,29.540000915527344,27.600000381469727,28.920000076293945,28.920000076293945,699200,DRVN,0.9764868498139048,0.9757952710548832,0.9920470421289916,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-02-04,28.5,31.167999267578125,28.36000061035156,30.530000686645508,30.530000686645508,674300,DRVN,0.9475925206195752,0.925646891362285,0.9367834830734214,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-02-05,30.540000915527344,33.29999923706055,30.540000915527344,31.770000457763672,31.770000457763672,1167300,DRVN,0.8589864816592552,0.8785017137320095,0.8920365043829394,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-02-08,32.349998474121094,33.290000915527344,31.229999542236328,32.25,32.25,900700,DRVN,0.8449612403100775,0.8579844984897348,0.8455814095430596,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-02-09,32.4900016784668,33.459999084472656,32.400001525878906,32.849998474121094,32.849998474121094,650000,DRVN,0.8030441517843145,0.8563166047915387,0.8487062543619353,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-02-10,33.0,33.41600036621094,31.780000686645508,32.63999938964844,32.63999938964844,440500,DRVN,0.7944240438129209,0.8952205839385347,0.8397671678910942,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
2021-02-11,32.33000183105469,34.5,32.209999084472656,32.869998931884766,32.869998931884766,696400,DRVN,0.7566170260841975,0.8929115100456986,0.8560997962902852,829308000.0,,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,-11925000.0,-30767000.0,13743000.0,7482000.0,-18005000.0,2609000.0,-7488000.0,-1754000.0,-42977000.0,4000000.0,17531000.0,29458000.0,100174000.0,-1576000.0,567000.0,-8870000.0,26603000.0,-17335000.0,
