Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Dividends Paid
2021-01-19,27.0,28.64999961853028,25.299999237060547,28.6299991607666,28.6299991607666,2375100,DRVN,1.0789381870460846,0.8980090757286715,1.0971009698964682,1.0431767404393268,0.0357614466067577,-0.2160785877152776,-0.0323017446029516,672017000.0,1586362000.0,288414000.0,1464000.0,6721000.0,22825000.0,1876240000.0,284788000.0,31011000.0,125622000.0,870619000.0,3626000.0,13899000.0,34935000.0,158827000.0,13050000.0,3626000.0,134381000.0,185324000.0,-1254222000.0,78738000.0,1301913000.0,26149000.0,58917000.0,16373000.0,-482423000.0,623511000.0,446530000.0,-5396000.0,75000.0,7731000.0,5359000.0,-120000.0,41372000.0,24220000.0,100174000.0,-5452000.0,-7173000.0,-14056000.0,7225000.0,-28230000.0,-163000000.0
2021-01-20,28.56999969482422,29.89999961853028,27.020000457763672,29.5,29.5,1595800,DRVN,1.0586440522791976,0.8945762504965573,1.076271186440678,1.0311275448261352,0.0275165074530623,-0.2175971177589533,-0.0522759977508344,829308000.0,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,1824000.0,-57316000.0,140326000.0,118643000.0,-37845000.0,2609000.0,-4199000.0,149781000.0,4468000.0,83986000.0,62114000.0,100174000.0,-2904000.0,-11782000.0,-24292000.0,62154000.0,-52459000.0,
2021-01-21,31.420000076293945,32.95000076293945,29.14999961853028,29.25,29.25,2525800,DRVN,1.073846148629474,0.9398290520040398,1.0878632374298878,1.0380301751047352,0.0358159735247387,-0.1810471321950153,-0.0433346469014999,829308000.0,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,1824000.0,-57316000.0,140326000.0,118643000.0,-37845000.0,2609000.0,-4199000.0,149781000.0,4468000.0,83986000.0,62114000.0,100174000.0,-2904000.0,-11782000.0,-24292000.0,62154000.0,-52459000.0,
2021-01-22,29.030000686645508,30.84000015258789,29.030000686645508,29.790000915527344,29.790000915527344,4161700,DRVN,1.038939235037334,0.9714669232847628,1.0590801701055284,1.0546006276654674,-0.0156613926281332,-0.1492301075899245,-0.0703016696695215,829308000.0,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,1824000.0,-57316000.0,140326000.0,118643000.0,-37845000.0,2609000.0,-4199000.0,149781000.0,4468000.0,83986000.0,62114000.0,100174000.0,-2904000.0,-11782000.0,-24292000.0,62154000.0,-52459000.0,
2021-01-25,30.989999771118164,31.299999237060547,29.01000022888184,29.979999542236328,29.979999542236328,1308600,DRVN,0.9729820053932542,0.9806537714288842,1.0273515579501258,1.0270231116838735,-0.0540411062906193,-0.1448512196652939,-0.1099139995900098,829308000.0,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,1824000.0,-57316000.0,140326000.0,118643000.0,-37845000.0,2609000.0,-4199000.0,149781000.0,4468000.0,83986000.0,62114000.0,100174000.0,-2904000.0,-11782000.0,-24292000.0,62154000.0,-52459000.0,
2021-01-26,30.600000381469727,31.15999984741211,30.0,30.06999969482422,30.06999969482422,601800,DRVN,0.9477885031340904,0.9484536330964,1.0292650840387838,1.0299643010441049,-0.0821757979100145,-0.1733834005274237,-0.1061111904645693,829308000.0,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,1824000.0,-57316000.0,140326000.0,118643000.0,-37845000.0,2609000.0,-4199000.0,149781000.0,4468000.0,83986000.0,62114000.0,100174000.0,-2904000.0,-11782000.0,-24292000.0,62154000.0,-52459000.0,
2021-01-27,30.09000015258789,30.3700008392334,29.0,29.1299991607666,29.1299991607666,776600,DRVN,0.9982835826123918,0.9721936323625672,1.004119493398236,1.0834518832758422,-0.0851683006634503,-0.1827469819197346,-0.1711382180056866,829308000.0,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,1824000.0,-57316000.0,140326000.0,118643000.0,-37845000.0,2609000.0,-4199000.0,149781000.0,4468000.0,83986000.0,62114000.0,100174000.0,-2904000.0,-11782000.0,-24292000.0,62154000.0,-52459000.0,
2021-01-28,29.5,29.89999961853028,27.479999542236328,27.950000762939453,27.950000762939453,1018200,DRVN,1.0633273167119903,1.01288009635693,1.0329159231191802,1.0617555757592425,0.001571740952748,-0.123395132459211,-0.131362771684091,829308000.0,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,1824000.0,-57316000.0,140326000.0,118643000.0,-37845000.0,2609000.0,-4199000.0,149781000.0,4468000.0,83986000.0,62114000.0,100174000.0,-2904000.0,-11782000.0,-24292000.0,62154000.0,-52459000.0,
2021-01-29,28.100000381469727,28.64999961853028,26.809999465942383,28.100000381469727,28.100000381469727,714400,DRVN,1.0430604650550317,1.0259786310436392,1.020640566399726,1.0699322973380807,-0.026871832283049,-0.1305255894273511,-0.161913080803713,829308000.0,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,1824000.0,-57316000.0,140326000.0,118643000.0,-37845000.0,2609000.0,-4199000.0,149781000.0,4468000.0,83986000.0,62114000.0,100174000.0,-2904000.0,-11782000.0,-24292000.0,62154000.0,-52459000.0,
2021-02-01,28.739999771118164,29.8799991607666,27.600000381469727,28.940000534057617,28.940000534057617,526700,DRVN,0.940912199023324,0.9651002000607004,0.9961990114608976,1.0315574884075709,-0.0906452893842468,-0.173741905599614,-0.1704766192999487,829308000.0,3548790000.0,1104240000.0,2120000.0,8661000.0,27789000.0,4655150000.0,1087712000.0,46330000.0,313563000.0,1727351000.0,16528000.0,12489000.0,172611000.0,305446000.0,20839000.0,16528000.0,1712319000.0,373683000.0,-1452419000.0,87860000.0,2095054000.0,43039000.0,67802000.0,1824000.0,-57316000.0,140326000.0,118643000.0,-37845000.0,2609000.0,-4199000.0,149781000.0,4468000.0,83986000.0,62114000.0,100174000.0,-2904000.0,-11782000.0,-24292000.0,62154000.0,-52459000.0,
