,2020-12-26,2019-12-28,2018-12-29
Change To Liabilities,1824000.0,16373000.0,-7694000.0
Total Cashflows From Investing Activities,-57316000.0,-482423000.0,-17799000.0
Net Borrowings,140326000.0,623511000.0,55602000.0
Total Cash From Financing Activities,118643000.0,446530000.0,-9493000.0
Change To Operating Activities,-37845000.0,-5396000.0,3060000.0
Issuance Of Stock,2609000.0,75000.0,1050000.0
Net Income,-4199000.0,7731000.0,7062000.0
Change In Cash,149781000.0,5359000.0,11653000.0
Effect Of Exchange Rate,4468000.0,-120000.0,192000.0
Total Cash From Operating Activities,83986000.0,41372000.0,38753000.0
Depreciation,62114000.0,24220000.0,19846000.0
Other Cashflows From Investing Activities,100174000.0,100174000.0,100174000.0
Change To Inventory,-2904000.0,-5452000.0,-269000.0
Change To Account Receivables,-11782000.0,-7173000.0,2148000.0
Other Cashflows From Financing Activities,-24292000.0,-14056000.0,-13158000.0
Change To Netincome,62154000.0,7225000.0,12915000.0
Capital Expenditures,-52459000.0,-28230000.0,-22158000.0
Dividends Paid,,-163000000.0,-52987000.0
