Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,36.45000076293945,36.77000045776367,36.0099983215332,36.4900016784668,36.4900016784668,587700,FWONA,0.9975335667731416,0.8703754115644179,0.7802137024881254,1.0206479989635429,-0.0231144321904012,-0.2198849771580281,-0.3090794965030775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,36.68000030517578,36.68000030517578,35.9900016784668,36.34000015258789,36.34000015258789,168200,FWONA,1.0107319589436123,0.8918546976149114,0.7754540502710755,1.012478214064533,-0.0017462551209206,-0.1968528581464882,-0.3136768282058583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,36.27000045776367,37.47999954223633,36.27000045776367,37.41999816894531,37.41999816894531,680400,FWONA,0.972207451851423,0.8701230081917111,0.7506681327392382,1.0113391723313174,-0.0391317204798944,-0.2198403668131909,-0.331132509481334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,37.2599983215332,38.220001220703125,35.47999954223633,38.15999984741211,38.15999984741211,431600,FWONA,0.9475890983229228,0.8414570424200135,0.7505240960212088,1.0126829906128405,-0.0650938922899176,-0.2470266446015528,-0.3394352705754552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,38.06999969482422,39.31999969482422,38.06999969482422,39.0,39.0,236300,FWONA,0.9466666197165464,0.8174358759170923,0.7299999823937048,1.0121464877707815,-0.0654798680542351,-0.2653645997660203,-0.3679217663775543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,39.060001373291016,39.150001525878906,38.34999847412109,38.77000045776367,38.77000045776367,126100,FWONA,0.9386123022952236,0.8400825202544483,0.7482589601845775,1.0081446760609294,-0.0695323737657057,-0.2548607025725878,-0.3523141062511861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,38.79999923706055,38.959999084472656,38.34999847412109,38.43999862670898,38.43999862670898,242200,FWONA,0.933142565384003,0.8636837135543326,0.7624870060629277,1.0143616235707735,-0.0812190581867705,-0.24003171139832,-0.3359951401137692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,38.72999954223633,38.72999954223633,37.81999969482422,37.900001525878906,37.900001525878906,192200,FWONA,0.9411608636635304,0.8767809552605479,0.7680738638090726,1.008797349947511,-0.0676364862839805,-0.2160697208833977,-0.3212234488848829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,37.9900016784668,37.9900016784668,37.540000915527344,37.720001220703125,37.720001220703125,352200,FWONA,0.9501590401040768,0.8989925437436135,0.7735948929174464,1.0091988628593096,-0.0590398227552327,-0.2022396639990928,-0.3145021572755472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,37.84999847412109,37.90999984741211,37.15999984741211,37.83000183105469,37.83000183105469,186000,FWONA,0.9302140344550944,0.8990218523757607,0.7684377025580957,1.0112728774332036,-0.0810588429781091,-0.1996630734475919,-0.3075973984070337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
