,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,101000000.0,86000000.0,249000000.0,7000000.0
Change To Liabilities,-8000000.0,38000000.0,133000000.0,-359000000.0
Total Cashflows From Investing Activities,75000000.0,37000000.0,227000000.0,-1662000000.0
Net Borrowings,657000000.0,122000000.0,-610000000.0,-73000000.0
Total Cash From Financing Activities,1158000000.0,96000000.0,-616000000.0,1847000000.0
Change To Operating Activities,-37000000.0,20000000.0,-35000000.0,77000000.0
Net Income,-596000000.0,-311000000.0,-150000000.0,255000000.0
Change In Cash,1097000000.0,427000000.0,-122000000.0,114000000.0
Repurchase Of Stock,-72000000.0,-30000000.0,-3000000.0,-5000000.0
Effect Of Exchange Rate,3000000.0,3000000.0,-1000000.0,4000000.0
Total Cash From Operating Activities,-139000000.0,294000000.0,268000000.0,-75000000.0
Depreciation,441000000.0,453000000.0,460000000.0,405000000.0
Other Cashflows From Investing Activities,-5000000.0,-5000000.0,-8000000.0,-12000000.0
Other Cashflows From Financing Activities,573000000.0,4000000.0,-3000000.0,-13000000.0
Change To Netincome,61000000.0,94000000.0,-140000000.0,-453000000.0
Capital Expenditures,-21000000.0,-44000000.0,-14000000.0,-10000000.0
Issuance Of Stock,,,,1938000000.0
