Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-07-14,71.0,91.87999725341795,70.9000015258789,91.58999633789062,91.58999633789062,10526700,NCNO,0.9236816449038576,0.8459439508120196,0.7724642737072678,1.0836330203006346,-0.1599513753967769,-0.2935958702090461,-0.6211158700791,,170771000.0,53930000.0,66036000.0,,,42008000.0,119966000.0,38000.0,800000.0,-104752000.0,1521000.0,,-21000.0,393000.0,74347000.0,52409000.0,,-21000.0,10406000.0,109167000.0,66036000.0,30529000.0,3443000.0,18206000.0,-7965000.0,-37000.0,6260000.0,-490000.0,6260000.0,-22306000.0,-6329000.0,-35000.0,-4589000.0,1458000.0,-5655000.0,3049000.0,4198000.0,-7965000.0
2020-07-15,84.26000213623047,85.0,68.55999755859375,72.33999633789062,72.33999633789062,4754500,NCNO,1.1093448170105344,1.0655239940989785,0.998755925595154,1.0561175899815567,0.0532272270289777,-0.0418965090613985,-0.3585840888014694,26093000.0,288564000.0,78522000.0,167273000.0,4356000.0,7000000.0,59125000.0,250151000.0,41000.0,3608000.0,-120924000.0,1947000.0,55840000.0,-408000.0,9464000.0,91184000.0,76575000.0,,-408000.0,13477000.0,145277000.0,85340000.0,44506000.0,4666000.0,25420000.0,-58027000.0,-37000.0,84091000.0,-6214000.0,81042000.0,-27594000.0,16837000.0,-229000.0,-8998000.0,3914000.0,-14156000.0,3049000.0,5694000.0,-5760000.0
2020-07-16,70.0,76.29499816894531,66.81999969482422,68.23999786376953,68.23999786376953,1864000,NCNO,1.2382767093382832,1.1707210124645124,1.113862903219495,1.0603047606893516,0.1779719486489315,0.0733590595389537,-0.245824556651206,26093000.0,288564000.0,78522000.0,167273000.0,4356000.0,7000000.0,59125000.0,250151000.0,41000.0,3608000.0,-120924000.0,1947000.0,55840000.0,-408000.0,9464000.0,91184000.0,76575000.0,,-408000.0,13477000.0,145277000.0,85340000.0,44506000.0,4666000.0,25420000.0,-58027000.0,-37000.0,84091000.0,-6214000.0,81042000.0,-27594000.0,16837000.0,-229000.0,-8998000.0,3914000.0,-14156000.0,3049000.0,5694000.0,-5760000.0
2020-07-17,70.25,76.5,68.5,74.0,74.0,1924900,NCNO,1.1079729441049937,1.101351351351351,1.0054054260253906,1.0508986066031938,0.0570743375017999,0.0031974875835751,-0.3593877210325704,26093000.0,288564000.0,78522000.0,167273000.0,4356000.0,7000000.0,59125000.0,250151000.0,41000.0,3608000.0,-120924000.0,1947000.0,55840000.0,-408000.0,9464000.0,91184000.0,76575000.0,,-408000.0,13477000.0,145277000.0,85340000.0,44506000.0,4666000.0,25420000.0,-58027000.0,-37000.0,84091000.0,-6214000.0,81042000.0,-27594000.0,16837000.0,-229000.0,-8998000.0,3914000.0,-14156000.0,3049000.0,5694000.0,-5760000.0
2020-07-20,74.69999694824219,81.23999786376953,74.0,74.0999984741211,74.0999984741211,1270700,NCNO,1.0560054198560918,1.1047233778141117,0.9937921849670036,1.0499296408975316,0.0060757789585601,0.0101030927763339,-0.3937988182575592,26093000.0,288564000.0,78522000.0,167273000.0,4356000.0,7000000.0,59125000.0,250151000.0,41000.0,3608000.0,-120924000.0,1947000.0,55840000.0,-408000.0,9464000.0,91184000.0,76575000.0,,-408000.0,13477000.0,145277000.0,85340000.0,44506000.0,4666000.0,25420000.0,-58027000.0,-37000.0,84091000.0,-6214000.0,81042000.0,-27594000.0,16837000.0,-229000.0,-8998000.0,3914000.0,-14156000.0,3049000.0,5694000.0,-5760000.0
2020-07-21,76.87000274658203,78.22000122070312,74.0,74.97000122070312,74.97000122070312,370100,NCNO,1.1039082404786746,1.0213418493806727,0.95878346115817,1.035121986103813,0.0687862543748616,-0.0766326380006343,-0.3887701228992657,26093000.0,288564000.0,78522000.0,167273000.0,4356000.0,7000000.0,59125000.0,250151000.0,41000.0,3608000.0,-120924000.0,1947000.0,55840000.0,-408000.0,9464000.0,91184000.0,76575000.0,,-408000.0,13477000.0,145277000.0,85340000.0,44506000.0,4666000.0,25420000.0,-58027000.0,-37000.0,84091000.0,-6214000.0,81042000.0,-27594000.0,16837000.0,-229000.0,-8998000.0,3914000.0,-14156000.0,3049000.0,5694000.0,-5760000.0
2020-07-22,75.63999938964844,77.75,74.0,74.80000305175781,74.80000305175781,394400,NCNO,1.10427800941353,0.9780748753644616,0.9585560698256846,1.0249122036135947,0.0793658057999353,-0.1177211328299187,-0.3873584092499805,26093000.0,288564000.0,78522000.0,167273000.0,4356000.0,7000000.0,59125000.0,250151000.0,41000.0,3608000.0,-120924000.0,1947000.0,55840000.0,-408000.0,9464000.0,91184000.0,76575000.0,,-408000.0,13477000.0,145277000.0,85340000.0,44506000.0,4666000.0,25420000.0,-58027000.0,-37000.0,84091000.0,-6214000.0,81042000.0,-27594000.0,16837000.0,-229000.0,-8998000.0,3914000.0,-14156000.0,3049000.0,5694000.0,-5760000.0
2020-07-23,74.69999694824219,76.94999694824219,70.26000213623047,71.56999969482422,71.56999969482422,349700,NCNO,1.184854036794,1.004471142883732,1.0040519898947031,1.042919681119605,0.1419343556743946,-0.0684374719574614,-0.3431650426699819,26093000.0,288564000.0,78522000.0,167273000.0,4356000.0,7000000.0,59125000.0,250151000.0,41000.0,3608000.0,-120924000.0,1947000.0,55840000.0,-408000.0,9464000.0,91184000.0,76575000.0,,-408000.0,13477000.0,145277000.0,85340000.0,44506000.0,4666000.0,25420000.0,-58027000.0,-37000.0,84091000.0,-6214000.0,81042000.0,-27594000.0,16837000.0,-229000.0,-8998000.0,3914000.0,-14156000.0,3049000.0,5694000.0,-5760000.0
2020-07-24,72.4800033569336,74.87999725341797,71.56999969482422,73.83999633789062,73.83999633789062,328100,NCNO,1.2084237240291635,0.9948537747526542,0.9780607367614912,1.0525520783774,0.1558716456517634,-0.0762694670738088,-0.3687366211462498,26093000.0,288564000.0,78522000.0,167273000.0,4356000.0,7000000.0,59125000.0,250151000.0,41000.0,3608000.0,-120924000.0,1947000.0,55840000.0,-408000.0,9464000.0,91184000.0,76575000.0,,-408000.0,13477000.0,145277000.0,85340000.0,44506000.0,4666000.0,25420000.0,-58027000.0,-37000.0,84091000.0,-6214000.0,81042000.0,-27594000.0,16837000.0,-229000.0,-8998000.0,3914000.0,-14156000.0,3049000.0,5694000.0,-5760000.0
2020-07-27,73.94000244140625,74.9000015258789,71.37999725341797,71.5999984741211,71.5999984741211,190300,NCNO,1.2110335325749046,1.0097766004546735,1.018575444963667,1.045546571033957,0.1654869615409473,-0.0232946555234032,-0.3277893311207742,26093000.0,288564000.0,78522000.0,167273000.0,4356000.0,7000000.0,59125000.0,250151000.0,41000.0,3608000.0,-120924000.0,1947000.0,55840000.0,-408000.0,9464000.0,91184000.0,76575000.0,,-408000.0,13477000.0,145277000.0,85340000.0,44506000.0,4666000.0,25420000.0,-58027000.0,-37000.0,84091000.0,-6214000.0,81042000.0,-27594000.0,16837000.0,-229000.0,-8998000.0,3914000.0,-14156000.0,3049000.0,5694000.0,-5760000.0
