,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,47131000.0,-22399000.0,31532000.0,10327000.0
Total Cashflows From Investing Activities,-1740676000.0,-90257000.0,-41927000.0,-20360000.0
Net Borrowings,1636636000.0,1636636000.0,263125000.0,16400000.0
Total Cash From Financing Activities,1592475000.0,-47891000.0,527682000.0,-14209000.0
Change To Operating Activities,14681000.0,-36995000.0,-17084000.0,2595000.0
Net Income,-6044000.0,-37903000.0,170000.0,-36358000.0
Change In Cash,-148884000.0,-250134000.0,475899000.0,-69956000.0
Repurchase Of Stock,-153000.0,-29564000.0,-57000.0,-239000.0
Effect Of Exchange Rate,-1317000.0,-1317000.0,-1317000.0,-1317000.0
Total Cash From Operating Activities,634000.0,-111986000.0,-9856000.0,-35387000.0
Depreciation,27302000.0,10160000.0,10278000.0,9701000.0
Other Cashflows From Investing Activities,-120000.0,-630000.0,-636000.0,-636000.0
Dividends Paid,-23689000.0,-17657000.0,-16871000.0,-16871000.0
Change To Inventory,-30287000.0,-5171000.0,-3461000.0,31485000.0
Change To Account Receivables,-18795000.0,-19223000.0,16512000.0,-34093000.0
Other Cashflows From Financing Activities,-20319000.0,-670000.0,-10507000.0,-13499000.0
Change To Netincome,-32954000.0,-855000.0,-48373000.0,-21792000.0
Capital Expenditures,-154514000.0,-80810000.0,-41154000.0,-20419000.0
Issuance Of Stock,,,291992000.0,291992000.0
