Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Short Term Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2019-01-31,13.25,13.779999732971191,12.899999618530272,13.06999969482422,12.895047187805176,4047000,NFE,1.1208875950093171,0.9319051665884328,0.929609700507424,1.0491297846528118,0.0717578103565053,-0.1521241744566592,-0.1795482030467579,64928000.0,,416755000.0,268307000.0,14340000.0,,22671000.0,699402000.0,426741000.0,10818000.0,-158423000.0,11263000.0,-11000.0,128298000.0,78301000.0,404755000.0,185000.0,-11000.0,348740000.0,153780000.0,3656000.0,203379000.0,30363000.0,737000.0,32129000.0,43177000.0,272192000.0,,12232000.0,-184455000.0,204080000.0,260204000.0,-24293000.0,70150000.0,-78076000.0,-17478000.0,-6413000.0,-93227000.0,4034000.0,724000.0,-33742000.0,-4807000.0,-9516000.0,-14026000.0,3176000.0,-181151000.0,
2019-02-01,13.5,14.0,13.4399995803833,13.949999809265137,13.76326847076416,984800,NFE,1.0401433414591204,0.8666666250919062,0.923297477181173,1.033701269744067,0.0064420717150532,-0.2112029225941016,-0.1654580681328776,64928000.0,,416755000.0,268307000.0,14340000.0,,22671000.0,699402000.0,426741000.0,10818000.0,-158423000.0,11263000.0,-11000.0,128298000.0,78301000.0,404755000.0,185000.0,-11000.0,348740000.0,153780000.0,3656000.0,203379000.0,30363000.0,737000.0,32129000.0,43177000.0,272192000.0,,12232000.0,-184455000.0,204080000.0,260204000.0,-24293000.0,70150000.0,-78076000.0,-17478000.0,-6413000.0,-93227000.0,4034000.0,724000.0,-33742000.0,-4807000.0,-9516000.0,-14026000.0,3176000.0,-181151000.0,
2019-02-04,13.960000038146973,14.050000190734863,13.8100004196167,13.989999771118164,13.802732467651367,289200,NFE,1.0385990285226212,0.8784846268423863,0.9935668055485118,1.0188657427648729,0.0197332857577483,-0.1902904006963357,-0.1010295351817383,64928000.0,,416755000.0,268307000.0,14340000.0,,22671000.0,699402000.0,426741000.0,10818000.0,-158423000.0,11263000.0,-11000.0,128298000.0,78301000.0,404755000.0,185000.0,-11000.0,348740000.0,153780000.0,3656000.0,203379000.0,30363000.0,737000.0,32129000.0,43177000.0,272192000.0,,12232000.0,-184455000.0,204080000.0,260204000.0,-24293000.0,70150000.0,-78076000.0,-17478000.0,-6413000.0,-93227000.0,4034000.0,724000.0,-33742000.0,-4807000.0,-9516000.0,-14026000.0,3176000.0,-181151000.0,
2019-02-05,14.0,14.119999885559082,13.850000381469728,13.979999542236328,13.792865753173828,533100,NFE,1.021459298390886,0.8490700461346946,1.017882691040256,1.0118359015222649,0.0096233968686212,-0.219165990805534,-0.0392500764225525,64928000.0,,416755000.0,268307000.0,14340000.0,,22671000.0,699402000.0,426741000.0,10818000.0,-158423000.0,11263000.0,-11000.0,128298000.0,78301000.0,404755000.0,185000.0,-11000.0,348740000.0,153780000.0,3656000.0,203379000.0,30363000.0,737000.0,32129000.0,43177000.0,272192000.0,,12232000.0,-184455000.0,204080000.0,260204000.0,-24293000.0,70150000.0,-78076000.0,-17478000.0,-6413000.0,-93227000.0,4034000.0,724000.0,-33742000.0,-4807000.0,-9516000.0,-14026000.0,3176000.0,-181151000.0,
2019-02-06,14.050000190734863,14.050000190734863,13.850000381469728,14.0,13.812599182128906,407300,NFE,0.9114286128548504,0.7935713319101106,1.0785714976152272,1.0285592028780797,-0.1171305900232292,-0.2473725921037038,0.0190842452824149,64928000.0,,416755000.0,268307000.0,14340000.0,,22671000.0,699402000.0,426741000.0,10818000.0,-158423000.0,11263000.0,-11000.0,128298000.0,78301000.0,404755000.0,185000.0,-11000.0,348740000.0,153780000.0,3656000.0,203379000.0,30363000.0,737000.0,32129000.0,43177000.0,272192000.0,,12232000.0,-184455000.0,204080000.0,260204000.0,-24293000.0,70150000.0,-78076000.0,-17478000.0,-6413000.0,-93227000.0,4034000.0,724000.0,-33742000.0,-4807000.0,-9516000.0,-14026000.0,3176000.0,-181151000.0,
2019-02-07,14.079999923706056,14.09000015258789,13.899999618530272,14.0600004196167,13.871795654296877,400600,NFE,0.8869131984089794,0.806543503919252,1.1031294480707334,1.0380111047151712,-0.1510979063061918,-0.2526944596038817,0.0191607720197382,64928000.0,,416755000.0,268307000.0,14340000.0,,22671000.0,699402000.0,426741000.0,10818000.0,-158423000.0,11263000.0,-11000.0,128298000.0,78301000.0,404755000.0,185000.0,-11000.0,348740000.0,153780000.0,3656000.0,203379000.0,30363000.0,737000.0,32129000.0,43177000.0,272192000.0,,12232000.0,-184455000.0,204080000.0,260204000.0,-24293000.0,70150000.0,-78076000.0,-17478000.0,-6413000.0,-93227000.0,4034000.0,724000.0,-33742000.0,-4807000.0,-9516000.0,-14026000.0,3176000.0,-181151000.0,
2019-02-08,13.960000038146973,14.255999565124512,13.949999809265137,14.0,13.812599182128906,230100,NFE,0.8564285990460909,0.8321428571428572,1.171428433340974,1.0411920338578655,-0.1847634348117748,-0.2288197710487084,0.0798068553979116,64928000.0,,416755000.0,268307000.0,14340000.0,,22671000.0,699402000.0,426741000.0,10818000.0,-158423000.0,11263000.0,-11000.0,128298000.0,78301000.0,404755000.0,185000.0,-11000.0,348740000.0,153780000.0,3656000.0,203379000.0,30363000.0,737000.0,32129000.0,43177000.0,272192000.0,,12232000.0,-184455000.0,204080000.0,260204000.0,-24293000.0,70150000.0,-78076000.0,-17478000.0,-6413000.0,-93227000.0,4034000.0,724000.0,-33742000.0,-4807000.0,-9516000.0,-14026000.0,3176000.0,-181151000.0,
2019-02-11,14.229999542236328,14.229999542236328,14.010000228881836,14.09000015258789,13.901394844055176,212500,NFE,0.7856635147577269,0.8041163588197001,1.1611071089012177,1.036831024960284,-0.251167510202557,-0.2627688710906076,0.0804550340387471,64928000.0,,416755000.0,268307000.0,14340000.0,,22671000.0,699402000.0,426741000.0,10818000.0,-158423000.0,11263000.0,-11000.0,128298000.0,78301000.0,404755000.0,185000.0,-11000.0,348740000.0,153780000.0,3656000.0,203379000.0,30363000.0,737000.0,32129000.0,43177000.0,272192000.0,,12232000.0,-184455000.0,204080000.0,260204000.0,-24293000.0,70150000.0,-78076000.0,-17478000.0,-6413000.0,-93227000.0,4034000.0,724000.0,-33742000.0,-4807000.0,-9516000.0,-14026000.0,3176000.0,-181151000.0,
2019-02-12,14.029999732971191,14.199999809265137,13.949999809265137,14.06999969482422,13.88166046142578,124600,NFE,0.7306326281384361,0.8599859604055409,1.158493253904788,1.0266865901713609,-0.2960539620329245,-0.1840996074709475,0.0820500315133683,64928000.0,,416755000.0,268307000.0,14340000.0,,22671000.0,699402000.0,426741000.0,10818000.0,-158423000.0,11263000.0,-11000.0,128298000.0,78301000.0,404755000.0,185000.0,-11000.0,348740000.0,153780000.0,3656000.0,203379000.0,30363000.0,737000.0,32129000.0,43177000.0,272192000.0,,12232000.0,-184455000.0,204080000.0,260204000.0,-24293000.0,70150000.0,-78076000.0,-17478000.0,-6413000.0,-93227000.0,4034000.0,724000.0,-33742000.0,-4807000.0,-9516000.0,-14026000.0,3176000.0,-181151000.0,
2019-02-13,14.109999656677246,14.140000343322754,13.619999885559082,14.0,13.812599182128906,90300,NFE,0.8035714285714287,0.9299999447649612,1.0828571152396234,1.0273780778147723,-0.2238066492433436,-0.1023323809006977,0.0103449053960218,64928000.0,,416755000.0,268307000.0,14340000.0,,22671000.0,699402000.0,426741000.0,10818000.0,-158423000.0,11263000.0,-11000.0,128298000.0,78301000.0,404755000.0,185000.0,-11000.0,348740000.0,153780000.0,3656000.0,203379000.0,30363000.0,737000.0,32129000.0,43177000.0,272192000.0,,12232000.0,-184455000.0,204080000.0,260204000.0,-24293000.0,70150000.0,-78076000.0,-17478000.0,-6413000.0,-93227000.0,4034000.0,724000.0,-33742000.0,-4807000.0,-9516000.0,-14026000.0,3176000.0,-181151000.0,
